,2018-12-10,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-24,2018-12-26,2018-12-27,2018-12-28,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
10:00,1036.25,1053.71,1068.45,1071.78,1052.52,1029.99,1030.975,1056.683,1029.34,1012.02,981.056,993.5,1022.6,1045.44,1039.0,1019.73,1032.63,1042.97,1064.28,1074.0,1079.455,1063.928,1058.02,1042.348,1066.999,1087.77,1086.381,1093.68,1088.64,1076.46,1070.54,1087.474,1069.57,1068.71,1074.312,1106.763,1115.4,1121.316,1125.9,1131.98,1097.5910000000001,1089.0610000000001,1099.55,1114.487,1133.317,1111.63,1114.175
10:01,1036.94,1054.09,1067.71,1072.49,1054.08,1030.1,1028.88,1054.01,1027.662,1009.13,981.8589999999999,994.61,1025.59,1046.859,1039.08,1020.428,1032.612,1041.576,1063.0,1073.35,1080.46,1065.0,1057.2,1043.485,1067.68,1088.16,1086.8210000000001,1093.924,1088.734,1077.29,1070.961,1088.0910000000001,1071.65,1070.35,1074.785,1106.985,1114.274,1119.404,1126.469,1130.556,1096.9289999999999,1089.423,1099.98,1115.361,1133.03,1114.362,1112.44
10:02,1036.72,1053.575,1068.01,1071.42,1053.595,1029.71,1029.835,1054.094,1026.385,1010.76,982.56,996.91,1025.75,1046.47,1038.53,1021.1,1032.0819999999999,1041.05,1062.775,1072.88,1081.65,1063.89,1058.558,1042.46,1067.12,1087.17,1084.432,1093.123,1088.95,1078.13,1070.307,1087.56,1070.54,1069.11,1073.85,1107.542,1115.218,1119.982,1126.503,1131.33,1097.16,1089.28,1100.15,1115.74,1133.451,1114.948,1114.6
10:03,1039.87,1053.357,1069.71,1072.57,1056.322,1029.937,1028.18,1053.98,1027.67,1010.32,983.95,994.61,1024.05,1043.742,1037.64,1020.59,1033.78,1041.78,1065.56,1073.08,1080.261,1062.37,1057.54,1043.71,1066.65,1088.14,1085.0,1094.22,1088.51,1077.937,1071.0,1087.07,1070.589,1069.613,1073.95,1107.64,1115.59,1120.07,1125.394,1131.19,1096.76,1090.25,1098.817,1115.231,1133.01,1114.85,1114.8410000000001
10:04,1042.49,1052.7,1069.45,1072.13,1056.88,1031.54,1027.73,1052.95,1027.33,1007.26,982.45,993.0,1021.315,1044.177,1036.45,1020.904,1032.5810000000001,1042.11,1065.21,1072.21,1081.661,1061.01,1056.623,1043.014,1066.75,1088.8,1083.4160000000002,1095.345,1088.677,1079.64,1070.98,1088.945,1069.39,1069.75,1071.89,1108.317,1118.492,1119.33,1126.0,1131.096,1096.5,1090.29,1098.98,1115.4260000000002,1134.54,1115.7269999999999,1113.0
10:05,1042.09,1053.08,1069.03,1072.333,1053.45,1030.3,1028.786,1051.721,1030.282,1007.96,980.62,991.7760000000001,1022.0,1045.35,1036.934,1025.19,1031.25,1042.24,1063.65,1071.69,1080.62,1062.08,1055.55,1042.778,1066.13,1088.4,1083.58,1094.91,1087.89,1078.089,1071.605,1088.4,1071.49,1068.51,1072.692,1108.2,1118.792,1120.15,1126.251,1131.431,1097.01,1091.0510000000002,1099.3,1115.0,1133.423,1116.5919999999999,1113.27
10:06,1044.5,1052.39,1068.522,1073.66,1052.537,1031.01,1028.73,1051.01,1031.0,1006.23,979.4,988.9860000000001,1022.0,1044.36,1036.05,1025.03,1032.64,1040.59,1063.35,1072.27,1077.725,1060.3319999999999,1056.145,1041.7060000000001,1065.873,1088.57,1083.28,1093.97,1086.21,1076.58,1072.39,1089.24,1071.513,1068.31,1072.79,1108.45,1118.65,1121.09,1127.8,1130.465,1097.2,1092.016,1100.05,1114.068,1132.45,1115.2,1113.285
10:07,1042.6,1052.09,1068.52,1074.266,1052.63,1031.13,1028.96,1050.596,1034.99,1007.0,980.29,992.0,1020.78,1043.26,1035.04,1025.365,1032.16,1040.35,1062.08,1074.04,1077.0,1058.99,1056.2,1042.36,1066.16,1090.24,1083.866,1095.263,1085.21,1076.0,1072.68,1088.885,1071.109,1068.02,1071.92,1109.01,1118.95,1121.267,1127.025,1130.69,1098.01,1093.3,1099.464,1115.25,1133.05,1115.92,1112.85
10:08,1039.55,1050.93,1068.569,1072.95,1053.72,1030.35,1028.98,1050.31,1031.53,1006.175,980.57,991.5210000000001,1019.96,1043.392,1033.27,1025.202,1032.52,1040.29,1061.99,1073.35,1077.9,1058.389,1055.71,1043.05,1066.29,1090.482,1083.71,1094.83,1085.09,1076.27,1072.94,1088.38,1070.9260000000002,1067.42,1070.338,1109.32,1119.119,1121.753,1127.0,1129.51,1098.921,1094.255,1100.483,1115.19,1131.79,1116.252,1112.78
10:09,1039.51,1049.27,1069.88,1073.58,1053.0,1032.553,1028.546,1052.0,1031.878,1007.53,984.26,993.54,1019.02,1042.752,1034.778,1029.162,1027.635,1040.845,1059.215,1073.65,1078.094,1059.0,1055.535,1042.705,1065.19,1090.702,1083.22,1094.3110000000001,1085.423,1075.71,1073.01,1089.6960000000001,1070.67,1067.3339999999998,1070.41,1109.64,1118.94,1121.64,1125.63,1128.3110000000001,1098.99,1094.8,1100.63,1115.0,1131.84,1116.002,1112.09
10:10,1038.549,1047.038,1068.57,1073.92,1051.424,1032.88,1027.55,1053.906,1029.78,1012.18,986.29,991.248,1018.21,1043.08,1035.494,1028.77,1029.896,1041.0,1059.1960000000001,1072.9,1078.0,1059.41,1055.74,1042.316,1064.5839999999998,1090.09,1082.74,1095.476,1087.1,1076.29,1071.62,1089.88,1070.15,1064.7,1069.396,1110.3,1119.7,1121.05,1123.71,1128.583,1097.9,1094.58,1101.17,1115.835,1131.0710000000001,1115.52,1112.42
10:11,1038.3,1046.87,1071.0,1073.49,1051.36,1033.876,1028.09,1053.27,1030.076,1011.7310000000001,987.38,989.21,1018.586,1040.0,1037.47,1027.78,1029.2,1039.28,1058.76,1072.2830000000001,1077.41,1060.211,1054.93,1043.376,1065.3319999999999,1090.305,1083.19,1095.25,1088.3,1074.41,1072.2839999999999,1090.09,1069.13,1065.515,1070.254,1110.8,1120.7,1121.0,1122.56,1128.01,1097.66,1093.789,1100.46,1115.708,1130.57,1117.4260000000002,1112.39
10:12,1037.486,1046.725,1070.84,1074.56,1050.782,1036.454,1030.25,1053.0,1028.315,1012.8,987.44,987.25,1017.475,1040.232,1037.5,1029.46,1028.285,1040.802,1058.81,1071.75,1075.53,1060.498,1054.565,1043.233,1064.663,1089.7,1083.437,1096.48,1086.88,1075.89,1073.13,1090.21,1069.413,1064.97,1070.0,1111.59,1120.152,1121.626,1123.55,1126.386,1097.72,1093.47,1100.7,1115.53,1128.42,1118.42,1111.72
10:13,1041.98,1048.47,1071.8,1075.34,1051.558,1037.15,1031.642,1053.3,1030.0,1014.52,983.243,987.01,1016.3,1040.09,1035.48,1029.634,1026.5,1039.28,1057.26,1070.8,1075.43,1060.319,1054.58,1042.92,1065.295,1090.39,1083.35,1095.32,1087.1580000000001,1075.97,1073.511,1089.94,1069.14,1065.2,1068.85,1111.77,1120.01,1122.58,1122.2,1126.21,1097.451,1091.99,1100.44,1115.455,1128.2,1117.52,1112.37
10:14,1043.73,1048.98,1071.99,1075.05,1053.56,1038.6860000000001,1032.29,1055.68,1030.0510000000002,1014.605,987.6489999999999,986.52,1018.67,1041.024,1033.839,1029.84,1028.51,1037.118,1058.7,1071.09,1074.6,1059.5,1054.359,1043.62,1064.42,1089.95,1083.31,1095.22,1085.84,1076.01,1074.54,1089.27,1067.45,1064.501,1068.84,1112.12,1120.5,1122.47,1123.33,1125.57,1096.845,1090.68,1099.236,1115.7,1128.52,1118.12,1113.0
10:15,1041.535,1048.64,1072.61,1074.09,1053.925,1038.51,1033.808,1055.46,1027.5,1016.32,986.76,986.28,1017.895,1041.89,1032.7839999999999,1031.26,1027.39,1038.07,1056.47,1070.097,1074.88,1059.18,1053.5,1043.675,1064.3,1090.32,1083.29,1095.495,1084.89,1076.28,1074.1,1089.46,1068.49,1064.7,1069.97,1112.3,1120.22,1122.7,1124.0,1124.372,1097.11,1091.98,1100.0,1115.765,1127.0,1119.3,1112.877
10:16,1042.62,1050.1760000000002,1072.1,1073.75,1056.97,1038.0,1034.11,1057.9,1026.83,1019.2339999999999,985.61,985.56,1019.065,1040.86,1032.2,1029.97,1025.335,1038.15,1058.315,1069.75,1075.597,1059.075,1053.787,1043.004,1064.05,1091.33,1083.3,1095.695,1085.78,1075.5,1074.53,1089.088,1068.573,1065.35,1069.399,1112.5739999999998,1121.11,1122.563,1122.547,1125.02,1096.55,1090.76,1100.463,1115.4589999999998,1127.417,1118.46,1113.73
10:17,1041.817,1051.181,1071.399,1073.72,1057.08,1037.55,1033.38,1056.238,1025.685,1022.29,985.0,987.24,1017.28,1042.93,1031.75,1029.865,1025.308,1038.777,1058.195,1068.54,1074.8,1060.31,1054.05,1044.23,1064.32,1091.6,1083.04,1095.506,1085.737,1075.09,1073.72,1088.85,1069.0,1064.83,1069.11,1113.27,1122.026,1122.723,1123.7069999999999,1126.032,1096.49,1091.042,1099.796,1115.6019999999999,1127.0,1119.27,1114.92
