,2018-12-11,2018-12-12,2018-12-17,2018-12-20,2019-01-03,2019-01-04,2019-01-16,2019-01-29,2019-02-04,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13
40 day,49.56774999999998,49.22824999999999,47.81924999999999,46.462749999999986,43.608999999999995,43.31949999999999,42.70800000000001,43.750750000000004,44.089749999999995,44.27374999999999,44.256499999999996,44.21049999999999,44.19525,44.20974999999999,44.26124999999999
45 min,44.40888888888889,44.96377777777778,42.81502222222222,40.92531111111112,39.165888888888894,41.65222222222221,45.758977777777766,44.604066666666654,49.66448888888889,46.798955555555565,42.51297777777778,42.218133333333355,43.94564444444446,44.46613333333334,45.68477777777778
5 day,43.866,43.814,43.836,42.212,41.169999999999995,41.394,45.553999999999995,46.89,47.934000000000005,48.494,47.254000000000005,45.736000000000004,44.658,44.096,43.85000000000001
5 hr,44.34814333333334,44.79268666666662,43.40469666666666,40.81151333333334,39.476660000000045,41.47410999999996,45.876403333333315,45.05956000000004,50.05315333333333,46.82504333333331,42.65534666666662,42.0708333333333,43.1374566666667,44.28409333333336,45.632303333333304
5 min,44.158,44.9,42.842,40.767999999999994,39.041999999999994,41.76199999999999,45.687,44.391000000000005,49.577999999999996,46.7776,42.725,42.3066,44.198,44.503,45.556
5.5 hr,44.42298181818184,44.7567333333333,43.427433333333326,40.90405151515153,39.45419393939398,41.41908181818177,45.86413636363635,45.12035151515154,50.08402727272728,46.88008181818179,42.7469151515151,42.097784848484814,43.06559393939398,44.31608787878791,45.58647272727269
50 day,51.25139999999998,50.94579999999999,49.93419999999999,49.06619999999999,45.9388,45.5924,43.934000000000005,43.221199999999996,43.9096,44.18539999999999,44.242599999999996,44.227999999999994,44.25679999999999,44.26139999999999,44.283999999999985
50 min,44.4076,44.97689999999999,42.82652,40.929080000000006,39.170100000000005,41.65089999999999,45.770459999999986,44.619659999999996,49.679140000000004,46.79446,42.53976000000001,42.21962000000001,43.89648000000002,44.46670000000001,45.7011
55 min,44.40365454545454,44.98300000000001,42.83265454545455,40.9227090909091,39.188272727272725,41.650818181818174,45.78441818181817,44.63114545454544,49.69003636363637,46.78796363636362,42.561963636363636,42.214472727272735,43.8566181818182,44.46372727272728,45.71272727272727
6 hr,44.48617222222225,44.7353583333333,43.404975,41.0165527777778,39.434225000000026,41.35355277777774,45.85879166666665,45.1781777777778,50.09869166666666,46.9354222222222,42.90457777777771,42.052141666666635,42.985900000000036,44.377883333333365,45.53467777777774
6.5 hr,44.52272820512824,44.73961538461534,43.356541025641036,41.094202564102595,39.44094615384618,41.28178717948714,45.866271794871786,45.27426153846156,50.088738461538455,47.00093076923074,43.07416923076916,42.023020512820494,42.91176153846156,44.44922564102566,45.524482051282014
60 day,52.93366666666665,52.66549999999999,51.771333333333324,50.746666666666655,48.134,47.897333333333336,45.98366666666668,44.67466666666667,44.31849999999999,44.01816666666665,43.75799999999999,43.530999999999985,43.64349999999999,43.734999999999985,43.846166666666655
70 day,54.55457142857142,54.225428571428566,53.21471428571428,52.250714285714274,49.87185714285714,49.580999999999996,47.75657142857144,46.520142857142865,45.799285714285716,45.55228571428571,45.369142857142855,45.18071428571428,45.055142857142854,44.90742857142856,44.77699999999999
80 day,55.817125,55.62850000000001,54.940999999999995,54.04937499999998,51.31849999999999,51.0265,49.406625000000005,47.953625,47.50212500000001,47.266625,47.08875,46.88912499999999,46.711749999999995,46.49312499999999,46.28262499999999
90 day,56.056888888888906,55.94588888888891,55.49811111111111,54.9361111111111,53.076999999999984,52.81799999999998,50.79200000000001,49.43044444444444,48.85555555555557,48.5238888888889,48.31788888888889,48.12211111111111,47.94555555555555,47.77033333333332,47.59655555555554
Tomorrow,44.86,43.86,42.22,37.98,41.79,42.23,46.0,46.84,47.25,42.71,42.33,44.25,44.44,45.52,45.75
