,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-16,2019-01-18,2019-01-22,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
30 min,100.26683333333332,98.95423333333335,96.07636666666667,92.63210000000001,88.38600000000001,88.01636666666667,90.3609,89.35479999999998,88.30443333333334,90.97696666666664,92.40976666666668,94.77676666666666,96.27883333333332,99.683,102.22876666666667,105.23366666666668,107.13000000000001,105.84713333333336,104.29200000000002,105.92569999999998,106.38546666666666,101.58736666666667,102.30410000000002,100.33250000000001,100.21866666666668,102.02333333333331,102.60590000000003,102.79166666666667,104.41226666666667,98.05530000000003,96.16636666666669,97.73833333333332,98.62923333333335,100.98766666666666,104.23096666666667,105.5624666666667
4 hr,100.246825,100.70524166666671,96.00810416666667,92.98939583333342,89.54203333333324,88.04515833333328,91.93454583333332,89.59145416666667,89.27116250000002,89.68112500000001,92.19158750000001,95.05115416666665,96.80313333333328,99.25072083333332,102.57608333333329,104.76604166666661,107.45635833333331,105.87308749999994,104.29243750000008,105.64510416666664,106.33542499999996,102.25862916666672,102.71665833333333,100.23655000000001,100.3941541666667,101.53707499999997,102.77910416666668,103.23148749999994,103.73376249999995,98.44963749999997,96.06392083333331,97.67531250000006,99.2572666666667,100.90163333333334,103.51300833333326,105.5838625
4.5 hr,100.31654814814816,100.88989259259264,96.07961481481482,93.09216666666674,89.76975925925919,88.08931481481473,92.11693703703703,89.5530777777778,89.50195555555557,89.48862592592592,92.15363333333336,95.09209999999997,96.85367407407401,99.12426666666666,102.56372962962958,104.62728518518513,107.53580740740739,105.93428888888886,104.18803703703709,105.56602592592589,106.32969629629626,102.32731481481484,102.66400740740742,100.22840740740742,100.39693333333337,101.54388518518516,102.90318518518518,103.25600370370364,103.57161481481477,98.43055555555551,95.9899333333333,97.58187037037041,99.21268148148154,100.92186666666666,103.4210703703703,105.6424111111111
40 day,112.93613499999996,112.20369749999998,111.34483999999998,110.42844749999998,109.47148249999998,108.49577249999996,107.65024249999996,106.90155999999998,106.30145499999996,105.04930499999996,103.73500749999998,103.2324725,102.78165749999998,102.3833875,102.118045,101.8482725,101.75485499999999,101.565025,101.41484500000001,101.08300000000001,100.69350000000001,100.51175,100.05375000000001,99.81525,99.57424999999999,99.33075,99.14924999999998,98.91724999999998,98.90399999999997,98.81249999999997,98.72649999999997,98.71074999999999,98.76974999999997,98.97749999999999,99.35974999999999,99.79899999999999
45 min,100.3918,99.1228222222222,95.88113333333332,92.68840000000002,88.50022222222226,87.8377111111111,90.29171111111113,89.52506666666665,88.36235555555557,90.77308888888885,92.36842222222224,94.7349111111111,96.29555555555554,99.5452222222222,102.35520000000005,105.19235555555555,107.18800000000002,105.74953333333335,104.18635555555556,106.07324444444443,106.41457777777778,101.74388888888888,102.48628888888892,100.31284444444445,100.278,101.98751111111109,102.60482222222228,102.66571111111108,104.39635555555554,98.02044444444446,96.1663777777778,97.68599999999999,98.76373333333335,100.87459999999994,104.28353333333331,105.50926666666668
5 day,102.054,100.73599999999999,99.636,97.638,95.22,92.798,91.22,89.762,88.974,89.21200000000002,91.02600000000001,92.936,93.77,95.17999999999999,97.328,99.77799999999999,102.09200000000001,104.08600000000001,104.91999999999999,105.078,105.54,104.92999999999999,102.68999999999998,101.37199999999999,101.112,101.298,101.60999999999999,101.746,102.596,101.786,100.528,99.18999999999998,98.55,98.42399999999999,99.598,101.378
5 hr,100.48743333333336,101.04877666666674,96.07318666666666,93.24003333333343,90.01927666666658,88.2072299999999,92.34364,89.60774666666664,89.63028999999999,89.21446666666662,92.08394,95.14114999999997,96.81636999999995,99.02645333333331,102.52664999999993,104.51749333333332,107.45478333333334,105.96404333333332,104.10099333333336,105.49381999999999,106.30761666666666,102.43601000000004,102.59850000000002,100.28250000000001,100.40022666666668,101.53652999999997,103.02698666666664,103.26299999999995,103.41134333333326,98.43987666666663,95.94981999999995,97.47228666666669,99.18283000000002,100.97870666666665,103.37253999999994,105.6324233333333
5 min,100.0038,98.67,96.316,92.8956,88.51,87.96799999999999,90.58200000000001,89.06,88.874,91.799,92.298,95.22,96.20200000000001,99.90299999999999,102.59399999999998,105.001,106.73800000000001,106.248,104.03200000000001,105.684,106.74600000000001,101.374,102.14299999999999,100.232,100.16,102.203,102.99000000000001,102.96399999999998,104.47800000000002,98.069,96.39300000000001,97.815,98.6218,101.012,103.954,105.5162
5.5 hr,100.6515757575758,101.04933939393946,96.05099999999999,93.33492424242435,90.1672787878787,88.29342727272719,92.48889393939393,89.74075757575753,89.70594848484846,88.89377575757577,92.0430787878788,95.06825454545456,96.6604727272727,99.004,102.48175454545449,104.41078484848488,107.37767272727274,105.94319999999998,104.04171212121214,105.41643030303032,106.32326060606056,102.5446666666667,102.59633030303034,100.30182727272728,100.42805454545456,101.49547272727276,103.12104242424243,103.2829636363636,103.23840303030302,98.56206969696966,95.96231212121205,97.35224848484852,99.13420909090911,100.99847575757579,103.29375151515146,105.60446363636359
50 day,116.9874,116.224248,115.41270200000001,114.47162,113.540434,112.575072,111.732432,110.813442,110.00612199999998,108.54990799999996,106.34275799999998,105.71078599999998,105.09481799999998,104.60499399999999,104.27804800000001,104.12156400000002,103.97511000000003,103.82504400000002,103.74605400000004,103.30297800000004,102.95271000000004,102.71703600000002,102.01922,101.823076,101.67167799999999,101.5451,101.3652,101.13679999999998,100.95159999999998,100.52459999999999,100.27039999999997,100.03079999999999,99.80839999999998,99.58879999999998,99.45779999999996,99.32439999999997
50 min,100.44521999999999,99.20217999999997,95.79982,92.69216000000002,88.55520000000004,87.78509999999999,90.30544,89.56753999999997,88.43352,90.71549999999996,92.37658000000002,94.73271999999999,96.30831999999998,99.50429999999999,102.38852000000004,105.16382,107.20052000000001,105.75052,104.18656000000003,106.0949,106.41822,101.7538,102.49962000000005,100.29884000000001,100.29098,101.96395999999997,102.57060000000006,102.64413999999995,104.40385999999998,98.01413999999998,96.15924000000001,97.66669999999998,98.79388,100.86231999999997,104.28767999999998,105.50331999999999
55 min,100.45410909090909,99.24799999999998,95.74310909090909,92.67820000000005,88.59527272727277,87.70463636363635,90.26958181818183,89.55303636363634,88.51056363636364,90.67781818181813,92.3947090909091,94.76289090909088,96.33792727272724,99.46472727272726,102.39529090909096,105.11883636363636,107.2102,105.77019999999997,104.18321818181822,106.11194545454546,106.42092727272727,101.76527272727272,102.5168363636364,100.28630909090913,100.29812727272726,101.96025454545452,102.54283636363643,102.63912727272722,104.39665454545454,98.01723636363636,96.13512727272727,97.64145454545452,98.82276363636365,100.84209090909087,104.30245454545454,105.5142
6 hr,100.82093333333329,101.03659166666675,96.10043333333331,93.43788055555564,90.32884722222212,88.33299444444434,92.52746388888887,89.83412499999996,89.71382777777777,88.6274111111111,92.06941944444446,94.88064166666665,96.55113611111106,98.95049166666665,102.39924444444443,104.37688611111118,107.33244722222223,105.92450277777779,103.99179444444451,105.41524722222229,106.32281944444445,102.63350555555559,102.57235833333336,100.28550833333338,100.4590583333333,101.4045222222223,103.152125,103.25424722222223,103.03969999999998,98.62602777777768,95.98869999999992,97.24313333333335,99.15818333333337,100.99179166666674,103.1695638888889,105.61852499999996
6.5 hr,100.98288717948712,101.05124615384624,96.18504358974357,93.55328717948726,90.45794358974355,88.38100512820505,92.45108974358975,89.82783333333334,89.71734871794874,88.4365846153846,92.11336153846156,94.58455384615387,96.52297948717947,98.89829487179487,102.2648487179487,104.36608974358978,107.25625128205132,105.87239487179488,103.9922128205129,105.38798717948725,106.29965384615384,102.80730512820519,102.55102820512826,100.28211025641028,100.48031025641025,101.37153076923083,103.12719487179486,103.28143076923077,102.95872564102568,98.75147948717942,96.10908205128197,97.11368205128204,99.22240512820512,100.94305128205137,103.02904871794875,105.6601205128205
60 day,119.11937833333333,118.71832333333334,118.24680666666669,117.65136000000001,117.01738,116.34276666666666,115.6409,114.88539666666665,114.17850166666666,112.65699999999998,110.39301666666667,109.72836166666667,109.06106000000001,108.51436000000002,107.97520166666669,107.57210166666668,107.27708166666667,106.94625666666667,106.55146500000002,105.35648833333336,104.7091616666667,104.4172066666667,103.82687000000003,103.69771166666669,103.5377516666667,103.37150500000003,103.16814833333336,102.97977166666668,102.79125833333335,102.15757,101.87218333333333,101.66806333333332,101.51723166666666,101.39108333333333,101.25299999999999,101.10616666666665
70 day,118.87733000000003,118.55654285714286,118.21560000000001,117.86389857142858,117.49500571428572,117.1436557142857,116.83815428571428,116.44900714285714,115.9974957142857,115.10303857142856,113.70116571428572,113.25318285714286,112.79251428571429,112.3242,111.87091142857145,111.49614428571431,111.10870571428573,110.6957142857143,110.2307485714286,108.85073857142861,108.04516571428577,107.56631571428575,106.5019342857143,106.10925571428572,105.67333714285716,105.28611285714287,104.94756142857145,104.60372714285715,104.31985285714286,103.68593571428573,103.44260285714286,103.29703857142859,103.13878714285715,102.97857571428572,102.81441285714287,102.69023285714286
80 day,119.23344375000002,118.96399250000002,118.65730250000001,118.28551000000002,117.84111500000002,117.42193375,117.03425374999999,116.61471249999997,116.21202374999999,115.39328874999998,114.38091125000001,114.14163,113.93707375000001,113.78638500000002,113.61588125000003,113.42305875000002,113.27446375000002,113.08115875000001,112.85049250000002,112.04466000000002,111.43742500000003,111.02617250000003,109.83825000000004,109.38390500000006,108.92468875000004,108.45588750000002,108.05614625000001,107.639795,107.28752000000001,106.19856125000001,105.8313175,105.45722375,105.05729500000002,104.70297375,104.41561625,104.14738625000003
90 day,120.42837333333333,120.07249888888887,119.66124777777776,119.19746777777777,118.69788777777777,118.22079999999997,117.73290999999998,117.26006111111109,116.76347999999999,116.09694999999998,115.14267555555557,114.82188000000002,114.5407188888889,114.29978111111112,114.07796666666668,113.8997988888889,113.7333077777778,113.56381222222224,113.37664444444445,112.96867111111112,112.83567555555558,112.67111666666668,112.0539188888889,111.80666000000004,111.53498222222224,111.2441288888889,110.98347555555556,110.69995555555555,110.38704444444446,109.2985488888889,108.87144444444445,108.44047111111112,108.01583444444447,107.58534444444444,107.23790777777778,106.89681777777781
Tomorrow,98.49,96.32,92.71,88.54,87.93,90.6,89.03,88.77,85.67,92.88,95.22,96.16,99.93,102.63,104.95,106.79,106.13,104.1,104.51,105.65,101.46,101.33,100.3,100.16,102.26,103.12,102.89,104.55,101.88,96.6,97.86,98.68,101.02,103.83,105.5,NULL
