,2018-12-13,2018-12-14,2018-12-18,2018-12-19,2018-12-21,2018-12-31,2019-01-02,2019-01-04,2019-01-07,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-30,2019-02-01,2019-02-04,2019-02-08
4.5 hr,13.96568518518519,12.793137037037035,12.040874074074079,12.1587962962963,10.24168518518518,11.314681481481484,11.479799999999994,12.078514814814818,12.576359259259252,12.612459259259259,12.344462962962973,12.331837037037038,12.267600000000002,11.892825925925939,12.064770370370379,11.560640740740737,11.48510740740741,11.405977777777787,12.23616666666669,12.840207407407421,12.898440740740748,10.911714814814811
40 day,17.867,17.637375,17.172625000000004,16.927625000000003,16.494374999999998,15.621375,15.443625000000003,15.133625,14.972375000000003,14.455875,14.297625,14.182624999999998,13.916125,13.765874999999998,13.519124999999999,13.365625,13.237124999999997,13.088625000000002,12.665125000000002,12.421625000000002,12.310375000000002,11.975125000000002
45 min,14.003888888888891,12.487999999999998,12.061377777777775,11.518777777777776,10.099977777777779,11.337111111111112,11.329266666666667,12.19551111111111,12.506799999999998,12.624644444444447,12.299022222222225,12.34495555555556,12.15193333333333,11.856377777777773,12.078222222222221,11.421911111111108,11.488577777777778,11.38453333333333,12.39817777777778,12.767711111111113,12.933311111111104,10.998244444444445
5 day,14.632,13.955000000000002,13.017000000000001,12.477,11.324,11.006000000000002,11.331999999999999,11.540000000000001,11.794,12.556000000000001,12.568000000000001,12.528,12.376000000000001,12.222000000000001,12.221999999999998,11.983999999999998,11.849999999999998,11.744,11.560000000000002,12.026,12.4,12.181999999999999
5 hr,13.974260000000005,12.840146666666666,12.04564666666667,12.191106666666668,10.26764333333333,11.306476666666667,11.484103333333335,12.061990000000002,12.56821666666666,12.623146666666663,12.33858333333335,12.321019999999999,12.279173333333336,11.884310000000019,12.068406666666679,11.599746666666661,11.475190000000001,11.396586666666677,12.207066666666687,12.835650000000017,12.895646666666678,10.923823333333326
5 min,13.997,12.479,12.048999999999998,11.547,10.146,11.262799999999999,11.447,12.186399999999999,12.507000000000001,12.629999999999999,12.244000000000002,12.312999999999999,12.112,11.843,12.059,11.321,11.424000000000001,11.355999999999998,12.426999999999998,12.838,13.016,10.992
5.5 hr,13.982290909090922,12.882281818181816,12.057815151515149,12.217600000000001,10.293151515151514,11.303581818181819,11.4733,12.061530303030306,12.545430303030296,12.628206060606058,12.339112121212139,12.325987878787878,12.290160606060605,11.879372727272745,12.066212121212136,11.63167878787878,11.46167575757576,11.399996969696977,12.18062727272729,12.834881818181833,12.889748484848496,10.95346969696969
50 day,18.9494,18.695899999999998,18.214900000000004,17.972700000000003,17.4525,16.3429,16.142500000000005,15.760300000000004,15.611700000000006,15.275900000000002,15.1757,15.067700000000002,14.824300000000001,14.707499999999998,14.452899999999998,14.271899999999999,14.115099999999998,13.961300000000001,13.605699999999999,13.389700000000003,13.294100000000004,12.891700000000004
50 min,13.993699999999999,12.505599999999998,12.053439999999998,11.5285,10.10968,11.337400000000002,11.332140000000003,12.195039999999999,12.508659999999995,12.632280000000007,12.304220000000004,12.347160000000004,12.155039999999996,11.852039999999995,12.072519999999997,11.431219999999996,11.49072,11.389639999999996,12.396880000000003,12.764540000000004,12.93057999999999,10.996920000000003
55 min,13.986999999999997,12.518072727272724,12.044036363636364,11.537363636363635,10.119527272727277,11.338272727272733,11.338218181818181,12.192309090909086,12.507327272727268,12.639618181818191,12.307018181818188,12.35278181818182,12.155399999999995,11.85272727272727,12.06783636363636,11.438527272727269,11.490018181818183,11.392309090909087,12.3992,12.76094545454546,12.928345454545443,10.993109090909094
6 hr,13.99592222222224,12.929411111111108,12.070541666666667,12.231222222222222,10.302905555555554,11.312033333333336,11.440561111111114,12.047136111111117,12.51802777777777,12.624005555555557,12.332155555555572,12.339669444444441,12.309588888888884,11.87412222222224,12.058047222222235,11.657649999999995,11.450816666666672,11.41150000000001,12.148700000000018,12.808077777777797,12.86916666666668,10.982286111111106
6.5 hr,13.998176923076938,12.979002564102561,12.080982051282048,12.232300000000002,10.314079487179486,11.326582051282049,11.396258974358982,12.031492307692313,12.482992307692303,12.616725641025646,12.332938461538472,12.334428205128198,12.330433333333335,11.87954358974361,12.065064102564119,11.688110256410257,11.430735897435902,11.422741025641036,12.106666666666682,12.779282051282065,12.856371794871805,11.018007692307686
60 day,20.014999999999997,19.80308333333333,19.36141666666667,19.115750000000002,18.602916666666665,17.440749999999998,17.222583333333336,16.825750000000003,16.635583333333336,16.159583333333334,15.989750000000003,15.81941666666667,15.509916666666669,15.351083333333333,15.07225,14.959750000000001,14.84175,14.727083333333335,14.423916666666667,14.237083333333336,14.148916666666668,13.651750000000002
70 day,20.531,20.372642857142854,20.066357142857147,19.899642857142858,19.504499999999997,18.569071428571426,18.373214285714287,17.96935714285714,17.777071428571432,17.234785714285717,17.05892857142857,16.885071428571433,16.52607142857143,16.355785714285712,16.02692857142857,15.863357142857145,15.716357142857143,15.562928571428575,15.110357142857145,14.855928571428574,14.73721428571429,14.352357142857146
80 day,20.965375,20.8260625,20.527687500000003,20.367562500000002,20.037187499999998,19.221687499999998,19.080062500000004,18.7985625,18.652812500000003,18.2346875,18.092937499999998,17.9423125,17.6199375,17.4480625,17.1018125,16.9248125,16.7515625,16.578312500000003,16.087812500000002,15.796937500000004,15.664187500000002,15.130562500000002
90 day,21.27777777777778,21.13661111111111,20.86394444444445,20.71727777777778,20.41438888888889,19.75261111111111,19.61327777777778,19.336833333333335,19.210833333333333,18.839166666666667,18.706055555555555,18.573944444444443,18.331944444444446,18.20894444444444,17.955277777777777,17.8125,17.676388888888887,17.540055555555554,17.11572222222222,16.829944444444447,16.682722222222225,16.081166666666668
Tomorrow,12.515,12.33,11.54,10.57,9.88,11.51,11.45,12.54,12.49,12.24,12.34,12.54,11.87,12.53,11.35,11.45,11.34,11.16,12.28,13.03,12.69,11.27
