,2018-12-12,2018-12-13,2018-12-18,2018-12-31,2019-01-02,2019-01-14,2019-01-17,2019-01-18,2019-01-25,2019-01-28,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-07,2019-02-12
5 min,169.03360000000004,172.22400000000002,165.67800000000003,161.29299999999998,160.584,169.202,173.332,172.872,177.1652,177.57,178.751,182.484,181.241,182.32999999999998,183.618,183.18800000000002
5.5 hr,170.34420606060598,172.47946666666655,166.59519696969693,161.4581303030305,160.2139484848484,169.1402636363638,172.5438515151516,172.57280606060615,178.0857757575758,176.47746060606056,178.64316666666664,181.09815454545452,179.64968181818173,181.39241818181821,182.45300303030314,183.04096666666655
50 day,162.4424,162.7584,163.596,165.35420000000005,165.50300000000004,167.2744,167.78760000000005,167.91620000000003,168.3684,168.48280000000003,168.74400000000003,168.99120000000002,169.1736,169.36000000000004,170.31279999999998,171.32859999999997
50 min,169.63146000000003,172.49962,165.99843999999996,160.96228000000002,160.38128000000003,168.79992,172.90261999999993,172.82213999999996,176.88278000000003,177.62696,178.326,181.64930000000004,180.34888000000004,181.96584000000001,183.11748,183.31708000000006
55 min,169.67287272727276,172.52965454545458,165.99767272727271,160.95025454545453,160.41716363636368,168.8001090909091,172.88092727272715,172.79109090909088,176.9348909090909,177.60014545454544,178.38009090909088,181.62494545454547,180.30234545454547,181.94756363636367,183.0596181818182,183.3300727272728
6 hr,170.43089166666658,172.4909583333332,166.5483583333333,161.53253055555572,160.15420833333326,169.20833333333343,172.5242666666668,172.5974166666668,178.14057222222223,176.3937694444444,178.64165555555553,180.9146333333333,179.69274999999993,181.29488055555558,182.44247500000012,183.04427222222213
6.5 hr,170.4915743589743,172.41196410256396,166.53395641025642,161.6001871794873,160.05285897435888,169.21100256410267,172.57113589743605,172.67576410256416,178.0974230769231,176.3723282051282,178.6347641025641,180.6998076923077,179.81692307692302,181.3018512820515,182.36059230769237,183.0915999999999
60 day,161.96699999999998,162.1573333333333,162.50216666666668,163.102,163.22716666666665,165.16783333333328,166.1095,166.43416666666664,167.87900000000002,168.26000000000005,168.81300000000005,169.1246666666667,169.39583333333337,169.65983333333335,170.3485,170.92383333333333
70 day,161.47199999999998,161.70485714285712,162.1274285714286,162.4534285714286,162.45242857142858,163.2964285714285,164.09442857142852,164.35371428571423,165.7731428571428,166.1801428571428,166.92799999999997,167.34542857142856,167.72771428571426,168.14042857142857,169.35614285714286,170.53057142857145
80 day,160.77925,160.95825,161.428875,162.06775000000002,162.10137500000002,162.77837499999993,163.21174999999997,163.38187499999995,164.20749999999992,164.46037499999994,165.04212499999994,165.40824999999995,165.76224999999994,166.10674999999998,167.28387499999994,168.54362499999996
90 day,160.31233333333333,160.46066666666667,160.7975555555556,161.36511111111113,161.439,162.35744444444438,162.84144444444442,162.99644444444442,163.71877777777772,163.91922222222217,164.32211111111107,164.5633333333333,164.7923333333333,165.04811111111107,165.86899999999994,166.71299999999994
Tomorrow,172.22,172.5,165.1,160.75,162.54,170.5,173.05,173.16,177.62,178.76,182.53,181.14,182.46,184.59,183.22,184.34
