,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-16,2019-01-17,2019-01-18,2019-01-23,2019-01-24,2019-01-28,2019-02-05,2019-02-06,2019-02-07,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
5 hr,68.58612333333336,66.82344666666665,66.07866333333335,64.71456999999997,64.23673666666672,64.19901666666664,62.14858999999998,59.83999333333328,60.79608,58.93824333333334,58.11371666666666,59.60545000000004,61.22742999999998,61.925353333333334,63.122316666666656,62.91105333333338,63.75966333333333,64.63523999999998,65.66886000000007,64.17642333333329,64.61304999999997,64.67151000000001,68.02927333333336,68.09767333333336,66.28796999999996,67.95164000000001,69.53233666666665,70.70337333333333,70.39329333333336,70.43320666666669
5 min,68.05,67.1636,65.197,64.17699999999999,64.406,63.147000000000006,62.251,60.93000000000001,60.83200000000001,58.965999999999994,57.7324,59.404999999999994,61.25,62.41400000000001,63.227999999999994,63.107000000000006,63.84400000000001,64.822,65.74,64.33700000000002,64.55600000000001,64.96799999999999,68.138,67.52099999999999,66.554,68.43699999999998,69.399,70.367,70.837,70.03999999999999
5.5 hr,68.59858181818184,66.82868787878786,66.17272424242425,64.7163151515151,64.26183939393945,64.26381818181814,62.212884848484826,59.74234848484843,60.813639393939376,58.88146363636363,58.06243030303029,59.57735151515156,61.200815151515144,61.86718484848485,63.10983939393939,62.91276363636367,63.75736666666667,64.57505757575758,65.67731212121215,64.18778787878783,64.61650909090905,64.68108181818184,68.0276666666667,68.10451515151517,66.34419393939388,67.94017878787878,69.508703030303,70.6885787878788,70.3928575757576,70.46301515151517
50 day,67.39059999999999,67.3474,67.2536,67.2114,67.17360000000001,67.1264,67.0738,66.91919999999999,66.71099999999998,66.60119999999999,66.47039999999998,66.3544,66.29480000000001,66.2982,66.2976,66.3208,65.799,65.6604,65.59719999999999,65.34679999999999,65.1946,65.003,64.65940000000002,64.65200000000002,64.62800000000001,64.62060000000001,64.61520000000002,64.66040000000001,64.70100000000001,64.69800000000002
50 min,68.37912,66.84022,65.40156000000003,64.2544,64.24030000000002,62.94809999999998,62.53913999999998,60.475459999999984,60.71312000000002,58.79338000000001,57.80572,59.578579999999995,61.42063999999999,62.168240000000004,63.19564,63.03965999999998,63.823719999999994,64.86317999999997,65.69702000000001,64.30369999999999,64.53464000000001,64.85139999999997,68.21944000000003,67.60106,66.4488,68.14518000000001,69.547,70.48674000000001,70.81939999999999,70.1024
55 min,68.38807272727271,66.81630909090909,65.40712727272728,64.2645090909091,64.21154545454547,62.92029090909091,62.52483636363633,60.444345454545434,60.71320000000002,58.8036181818182,57.80374545454546,59.598345454545445,61.41314545454545,62.15003636363635,63.19974545454544,63.030418181818156,63.82729090909091,64.86761818181814,65.70238181818182,64.29881818181819,64.53969090909092,64.85490909090908,68.21520000000004,67.60301818181819,66.43756363636363,68.1387272727273,69.55056363636363,70.48794545454547,70.81490909090908,70.10054545454545
6 hr,68.60069166666673,66.8722472222222,66.21148888888891,64.66605833333332,64.2956222222223,64.32708055555553,62.27069166666667,59.67527777777774,60.85037499999992,58.829000000000015,58.01748333333334,59.53086388888893,61.14913333333332,61.874194444444434,63.102074999999985,62.90601111111116,63.748836111111096,64.5286222222222,65.65217500000004,64.22182499999992,64.62729444444439,64.68921388888893,67.99748888888894,68.09581111111113,66.36326666666663,67.92333055555552,69.48325555555552,70.67696111111111,70.38912222222226,70.49053333333333
6.5 hr,68.56763589743595,66.94807435897432,66.20874102564105,64.59981794871797,64.33962051282059,64.38372051282047,62.31358461538462,59.652358974358954,60.88462051282047,58.774771794871825,58.03635641025643,59.472656410256455,61.08376666666664,61.894051282051265,63.08406153846155,62.8846461538462,63.74271025641022,64.49034358974357,65.61646153846155,64.2618948717948,64.61667435897431,64.69177435897441,67.96768717948721,68.10522307692308,66.36831025641024,67.91260256410251,69.4161,70.6084717948718,70.3660948717949,70.53776410256408
60 day,68.34283333333333,68.22483333333332,68.08083333333335,67.91483333333333,67.76233333333333,67.59816666666667,67.42266666666667,66.77333333333333,66.32416666666666,66.20233333333333,66.05999999999999,65.96,65.8985,65.89766666666667,65.92966666666666,65.93183333333333,65.83783333333334,65.84766666666665,65.85783333333333,65.89716666666666,65.91850000000001,66.02550000000001,65.47650000000002,65.40916666666668,65.316,65.24233333333335,65.24466666666667,65.27733333333335,65.29933333333335,65.30300000000003
70 day,69.33842857142855,69.23142857142855,69.10871428571429,68.96485714285714,68.81971428571427,68.62357142857142,68.415,67.71699999999998,67.16599999999998,66.94942857142856,66.72371428571425,66.53099999999998,66.36542857142855,66.22171428571426,66.09099999999998,65.94785714285713,65.605,65.58485714285713,65.59071428571428,65.61114285714285,65.65728571428572,65.71642857142857,65.79728571428572,65.87200000000003,65.91914285714287,66.08457142857144,66.03857142857144,66.01171428571429,65.99014285714286,65.96628571428572
80 day,69.90749999999997,69.84174999999996,69.74574999999997,69.63449999999997,69.52549999999998,69.39574999999999,69.24312499999999,68.67712499999998,68.17974999999998,67.98887499999998,67.77874999999997,67.56162499999996,67.36587499999999,67.19637499999996,67.03512499999998,66.87674999999999,66.33337499999999,66.22499999999998,66.13649999999998,65.93049999999998,65.8325,65.6545,65.56225,65.62487500000002,65.69050000000001,65.80675000000001,65.85837500000001,65.91687500000002,65.99537500000001,66.06850000000001
90 day,70.33811111111108,70.24844444444442,70.13099999999997,69.99311111111108,69.8543333333333,69.72499999999997,69.6172222222222,69.21533333333329,68.84922222222218,68.69255555555553,68.52177777777774,68.36599999999997,68.21855555555553,68.08522222222219,67.9522222222222,67.82355555555553,67.32577777777776,67.2182222222222,67.09644444444442,66.8292222222222,66.70044444444443,66.4822222222222,65.96277777777777,65.90722222222223,65.84255555555555,65.74166666666667,65.7407777777778,65.74722222222223,65.79677777777779,65.83955555555556
Tomorrow,67.25,65.1,64.21,64.35,63.02,62.3,59.8,61.65,59.01,57.7,59.38,61.24,62.45,63.26,63.13,63.1,64.83,65.79,64.51,64.57,65.44,64.17,67.51,66.59,67.09,69.33,70.37,70.78,70.09,NULL
