,2018-12-12,2018-12-13,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-03,2019-01-04,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-29,2019-01-31,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-12,2019-02-13,2019-02-15
30 min,65.03279999999998,63.516400000000004,60.77160000000001,55.300066666666666,55.16373333333333,59.83680000000001,58.1853,55.81686666666667,61.329133333333324,59.0873,60.78399999999999,59.41043333333334,57.07823333333335,54.235833333333325,54.64160000000001,58.23866666666665,60.837666666666685,52.23453333333334,52.059400000000004,54.33690000000001,58.270999999999994,57.70173333333335,60.653000000000006,62.214000000000006,62.21556666666668,59.844566666666665,61.22419999999999,65.4605,66.55723333333334,64.17113333333334
4 hr,65.23959583333333,63.554250000000025,60.88559999999995,55.391041666666666,55.98930416666666,58.48372083333333,58.497858333333284,56.10747499999996,61.01134166666664,59.05871666666669,60.37399166666667,58.97050416666666,57.559737499999976,54.44576666666664,54.66522916666673,57.78054166666665,61.06388333333333,53.051750000000055,51.96496249999998,54.081841666666676,58.177566666666685,57.349062499999995,61.18340833333335,62.17804583333335,62.07421249999996,59.941275000000005,60.94384999999999,65.12268750000003,67.51763333333331,64.1189125
4.5 hr,65.25651851851853,63.58992222222224,60.86812962962958,55.3991851851852,56.04978518518519,58.34630370370368,58.536248148148125,56.16248888888885,60.92077037037034,58.98615555555559,60.285981481481485,58.98618888888887,57.551137037037016,54.44035925925924,54.67025555555561,57.72779259259258,61.039048148148154,53.115814814814854,51.97198148148146,54.045700000000004,58.13993703703705,57.357111111111124,61.22257407407409,62.18947777777779,62.10569629629626,59.94645185185185,60.85182592592595,65.1327592592593,67.5640148148148,64.14611111111108
40 day,60.157749999999986,60.17299999999998,60.418249999999986,60.22000000000001,60.23200000000001,60.305250000000015,60.49025,60.088,60.015249999999995,59.80575,59.782499999999985,59.84325,59.90625,59.87525000000001,59.812499999999986,59.71649999999998,59.816499999999984,59.707999999999984,59.51149999999998,59.44749999999997,59.42099999999998,59.293499999999995,59.19725,58.958499999999994,58.97699999999999,58.948249999999994,58.890249999999995,58.86874999999999,58.90899999999999,59.1195
45 min,65.04622222222223,63.4805777777778,60.65442222222222,55.26855555555556,55.287666666666674,59.66413333333335,58.165511111111115,55.81324444444444,61.14342222222221,59.06584444444445,60.82948888888888,59.40473333333334,57.1074888888889,54.26139999999999,54.66355555555556,58.21697777777777,60.86891111111113,52.34246666666669,52.01200000000001,54.40004444444446,58.30773333333331,57.67102222222223,60.623266666666666,62.17691111111112,62.20697777777777,59.839933333333356,61.221399999999996,65.41415555555557,66.66406666666668,64.15895555555555
5 day,62.7,62.934000000000005,62.886,59.540000000000006,57.718,56.717999999999996,58.504,58.208000000000006,58.681999999999995,59.57000000000001,59.90999999999999,60.634,59.812,58.129999999999995,57.246,56.294,57.029999999999994,56.688,56.19599999999999,55.622,55.614,56.15,58.748000000000005,60.878,61.57000000000001,61.452,61.477999999999994,62.215999999999994,62.97800000000001,64.72
5 hr,65.29530333333334,63.61855333333335,60.875503333333306,55.45001333333334,56.15187666666667,58.167129999999986,58.53108999999998,56.17621999999996,60.824889999999975,58.93757666666671,60.22780000000004,59.020496666666645,57.51973666666666,54.45855333333331,54.68748000000004,57.70941000000003,61.02881666666668,53.16115333333338,51.99376666666663,53.997769999999996,58.06478666666667,57.347833333333355,61.311003333333346,62.19523333333334,62.137533333333295,60.00146333333333,60.77040000000002,65.18462666666672,67.59953999999995,64.18554666666667
5 min,64.7366,63.714,60.669000000000004,55.302,55.342,59.9996,58.29260000000001,55.922000000000004,61.364999999999995,58.963,60.6724,59.48,57.077999999999996,54.04259999999999,54.592999999999996,58.162,60.723,52.42099999999999,52.18299999999999,54.327999999999996,58.1828,57.676,60.7,62.152,62.2966,59.975,61.044000000000004,65.29459999999999,66.178,64.15800000000002
5.5 hr,65.3067848484849,63.64995151515153,60.88345454545451,55.53783636363638,56.2835666666667,57.96688787878788,58.58090606060604,56.141078787878776,60.705072727272714,58.83993636363638,60.23667575757581,59.04569393939392,57.51225757575756,54.50179393939393,54.7287757575758,57.71497878787878,60.979015151515156,53.27508787878792,52.06366969696967,53.95032424242422,58.0066303030303,57.37155454545457,61.427730303030316,62.20414545454546,62.1482393939394,60.09089393939392,60.720169696969705,65.23751515151518,67.63728484848482,64.23818787878785
50 day,60.62699999999999,60.53399999999998,60.269799999999975,60.001799999999996,59.98079999999999,59.99939999999999,59.8386,59.827200000000005,59.834399999999995,59.99300000000001,60.0792,60.12840000000001,60.177800000000005,60.16080000000001,60.07379999999999,59.76319999999999,59.6964,59.44659999999999,59.188799999999986,59.04479999999997,59.06539999999998,59.18399999999999,59.23059999999999,59.46919999999998,59.51519999999998,59.57799999999998,59.61359999999998,59.744199999999985,59.87299999999998,59.861399999999996
50 min,65.07260000000001,63.45082000000002,60.623400000000004,55.24098,55.346199999999996,59.59820000000003,58.1602,55.80352,61.105879999999985,59.06438,60.83725999999999,59.379000000000005,57.12342000000002,54.261259999999986,54.669700000000006,58.213359999999994,60.88788000000003,52.36462000000002,51.98054,54.411840000000026,58.31601999999999,57.64842000000001,60.61582000000001,62.171960000000006,62.19577999999999,59.83804000000002,61.214259999999996,65.39624,66.69026000000002,64.17266000000001
55 min,65.08769090909091,63.438018181818194,60.582454545454546,55.193527272727266,55.41372727272727,59.52847272727275,58.16938181818183,55.798472727272724,61.06743636363635,59.06196363636364,60.84534545454546,59.3636,57.143236363636376,54.264381818181796,54.67514545454545,58.217999999999996,60.89661818181821,52.385472727272756,51.959527272727264,54.41440000000002,58.32439999999999,57.61956363636364,60.617781818181825,62.17654545454546,62.1923818181818,59.83858181818183,61.19743636363636,65.38172727272729,66.71952727272729,64.18209090909093
6 hr,65.30981388888894,63.723041666666695,60.88008333333332,55.62003611111112,56.392755555555574,57.80792777777778,58.70425555555552,56.15119444444446,60.51058333333331,58.740600000000036,60.255913888888934,59.02501666666667,57.459719444444445,54.51988888888886,54.769233333333354,57.714074999999966,60.84896666666665,53.42016666666671,52.16617777777777,53.91554166666666,57.987513888888884,57.387686111111115,61.47174166666671,62.17104722222223,62.14003055555553,60.18086666666666,60.688947222222254,65.23977777777782,67.64346388888887,64.2847
6.5 hr,65.30012564102567,63.82130512820516,60.89919487179487,55.71131025641027,56.53123589743593,57.70526666666666,58.85011282051278,56.222310256410275,60.2908974358974,58.75775128205132,60.187992307692355,59.02209743589745,57.446820512820516,54.600105128205094,54.77783846153849,57.644566666666634,60.72337948717949,53.613392307692344,52.248546153846156,53.81325897435897,57.89832820512821,57.41417692307692,61.43502051282055,62.151935897435884,62.16685897435899,60.26467435897436,60.65024102564107,65.21411025641032,67.61371282051282,64.3522512820513
60 day,63.06199999999998,62.92366666666664,62.172666666666636,61.51216666666666,61.16833333333332,60.61933333333332,60.04999999999999,59.80199999999999,59.754666666666644,59.82349999999999,59.90383333333331,59.90299999999999,59.848833333333324,59.70016666666666,59.60016666666665,59.599999999999994,59.59883333333333,59.49383333333333,59.44766666666666,59.414999999999985,59.43266666666666,59.53716666666666,59.44216666666666,59.291166666666655,59.24566666666665,59.220666666666645,59.28516666666665,59.57783333333331,59.727833333333315,59.90283333333332
70 day,64.35142857142857,64.1762857142857,63.72485714285711,63.33014285714284,63.131999999999984,62.70599999999999,62.07399999999999,61.49985714285714,61.29342857142856,60.863857142857135,60.64157142857141,60.448142857142855,60.22814285714285,60.025571428571425,59.815428571428555,59.61085714285712,59.56414285714284,59.44171428571426,59.380285714285684,59.35957142857141,59.33885714285712,59.23142857142856,59.23728571428571,59.35385714285715,59.45942857142855,59.512857142857136,59.5685714285714,59.8242857142857,59.926571428571414,59.90957142857142
80 day,66.11599999999999,65.95337499999997,65.33474999999997,64.73987499999998,64.43174999999998,63.93287499999999,63.32137499999999,62.94212499999999,62.824249999999985,62.62012499999999,62.46124999999997,62.29537499999999,62.10424999999999,61.88137499999999,61.61574999999998,61.12037499999998,60.934374999999974,60.64449999999997,60.34599999999997,60.07312499999997,59.88637499999997,59.57474999999998,59.38287499999999,59.325750000000006,59.39899999999999,59.452125,59.46949999999998,59.520874999999975,59.58974999999998,59.768874999999994
90 day,67.45211111111111,67.23711111111109,66.59566666666665,66.08855555555554,65.86477777777776,65.52744444444443,64.93099999999998,64.4601111111111,64.26744444444444,63.83233333333331,63.61877777777775,63.43155555555555,63.21355555555555,62.97144444444444,62.775444444444425,62.444555555555525,62.33499999999997,62.154888888888856,61.96466666666663,61.75377777777774,61.590777777777745,61.27444444444442,60.89933333333332,60.407777777777774,60.25533333333332,60.0761111111111,59.94166666666665,59.793888888888866,59.75833333333331,59.75855555555554
Tomorrow,63.75,64.56,56.37,55.45,56.32,58.86,58.94,61.23,62.63,60.64,59.59,57.12,54.22,54.66,57.24,60.8,52.51,52.2,54.37,58.19,58.33,58.9,60.9,62.36,60.07,61.03,62.31,66.17,65.53,NULL
