,2018-12-11,2018-12-12,2018-12-14,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-09,2019-01-10,2019-02-05,2019-02-14,2019-02-15
50 day,22.2102,22.201600000000003,22.143599999999996,22.102999999999998,22.073999999999998,21.997999999999994,21.951399999999992,21.865,21.7128,21.665400000000005,21.610800000000005,21.565,21.4708,21.4608,20.891400000000004,20.821199999999997,20.803599999999996
50 min,21.009359999999997,21.237080000000006,20.236320000000013,19.551839999999995,19.535580000000003,18.695520000000002,18.181759999999993,18.9034,19.39836,19.603939999999994,19.480340000000005,19.857499999999995,20.753399999999996,20.818579999999987,21.87369999999999,21.898800000000005,21.99948
55 min,21.003963636363636,21.24034545454546,20.24347272727273,19.558672727272725,19.5268,18.70201818181818,18.197327272727268,18.88794545454546,19.392327272727275,19.61067272727272,19.48036363636364,19.860054545454542,20.75,20.818509090909078,21.869818181818168,21.90527272727273,22.009890909090903
6 hr,21.198041666666654,21.396938888888858,20.50557499999999,19.883369444444437,19.60461666666665,19.049863888888886,18.45400277777779,18.680402777777786,19.36905555555555,19.675327777777788,19.40295555555555,19.89747222222224,20.75152500000002,20.859775,21.8545333333333,21.939363888888906,22.132494444444443
6.5 hr,21.244307692307686,21.3800333333333,20.504602564102548,19.88784102564102,19.612761538461523,19.07468974358974,18.4534512820513,18.674725641025653,19.38172051282051,19.647482051282065,19.403241025641023,19.874000000000024,20.75111282051284,20.84277948717949,21.84931282051278,21.92163076923079,22.12959743589744
60 day,22.21533333333333,22.202666666666666,22.14383333333333,22.0935,22.04316666666666,21.930166666666658,21.872666666666657,21.76216666666666,21.64549999999999,21.61316666666666,21.58583333333333,21.56633333333333,21.549500000000002,21.545333333333335,21.320833333333336,21.043833333333335,21.0195
70 day,22.05585714285714,22.06114285714286,22.048714285714283,22.03271428571428,22.013999999999992,21.95657142857142,21.915999999999993,21.83057142857142,21.716857142857137,21.674999999999997,21.629142857142853,21.591571428571424,21.521999999999995,21.50285714285714,21.471,21.433142857142858,21.416428571428572
80 day,21.920625,21.912125000000003,21.879375000000003,21.856125,21.843249999999998,21.800874999999994,21.773249999999994,21.739124999999994,21.686999999999994,21.674124999999997,21.655374999999996,21.640124999999994,21.611249999999995,21.595124999999992,21.503125,21.506750000000004,21.503125
90 day,21.965444444444447,21.959111111111117,21.92577777777778,21.887333333333334,21.84788888888889,21.769999999999996,21.725999999999996,21.654111111111106,21.576666666666664,21.557,21.543444444444443,21.534666666666663,21.531999999999996,21.539999999999996,21.512888888888888,21.48955555555555,21.49844444444444
Tomorrow,21.16,20.62,19.54,19.61,19.5,18.45,18.56,19.29,19.63,19.42,19.88,20.15,20.87,21.04,21.65,21.86,NULL
