,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-16,2019-01-22,2019-01-23,2019-01-24,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-08
30 min,15.384433333333332,15.0798,15.131333333333334,14.665466666666669,13.9778,14.102999999999996,13.719133333333332,13.354333333333336,12.743533333333334,13.474499999999997,13.480466666666668,14.049766666666667,14.221600000000002,14.946500000000006,15.377433333333329,15.755166666666664,16.090999999999998,15.547466666666667,15.929433333333332,15.773533333333335,15.47733333333333,15.294466666666667,15.428533333333332,15.424800000000001,14.739166666666666,13.347833333333341,13.882433333333333,13.638699999999998,13.569999999999997,13.869599999999997,12.89583333333334
4 hr,15.402212500000003,15.181783333333346,15.035058333333328,14.778941666666666,14.085879166666643,14.167908333333344,14.014533333333349,13.235108333333335,12.955816666666673,13.336904166666667,13.494766666666658,14.097766666666661,14.354966666666655,14.868349999999975,15.55293333333332,15.778025000000001,16.20195833333331,15.565891666666676,15.99684166666665,15.748716666666663,15.620720833333326,15.143045833333339,15.339554166666682,15.239245833333324,14.821425000000005,13.431812500000007,13.9599125,13.681108333333334,13.552099999999985,13.777420833333334,12.90139166666668
4.5 hr,15.431488888888888,15.199144444444455,15.03299629629629,14.79738518518519,14.120477777777753,14.167611111111114,14.027177777777787,13.266088888888895,12.98437777777778,13.31951481481481,13.482448148148134,14.089181481481479,14.36726666666665,14.849322222222197,15.549533333333326,15.761559259259263,16.189107407407388,15.566177777777789,15.993288888888866,15.75063703703704,15.645755555555553,15.131725925925931,15.334137037037053,15.219096296296293,14.837129629629628,13.486603703703711,13.957244444444443,13.685322222222226,13.549922222222216,13.763096296296297,12.893281481481495
40 day,16.62125,16.58875,16.544,16.49425,16.43375,16.37925,16.323749999999997,16.25325,16.177500000000002,16.06475,15.876750000000001,15.822750000000003,15.765000000000004,15.718999999999998,15.673749999999995,15.629249999999995,15.586999999999998,15.532749999999997,15.488249999999997,15.368750000000002,15.27225,15.239500000000001,15.2055,15.129999999999999,15.06875,14.973499999999998,14.895749999999998,14.80025,14.729249999999999,14.667249999999996,14.501499999999998
45 min,15.393955555555545,15.071466666666664,15.123444444444447,14.683622222222228,13.949622222222215,14.087555555555557,13.74513333333333,13.325400000000004,12.771044444444444,13.442555555555552,13.465044444444445,14.03853333333333,14.235955555555554,14.940777777777784,15.406622222222225,15.760266666666661,16.115777777777772,15.560266666666674,15.930511111111107,15.776355555555547,15.491999999999992,15.292755555555544,15.428911111111109,15.415222222222221,14.741777777777777,13.395000000000007,13.868800000000007,13.621,13.568888888888882,13.864733333333334,12.902666666666669
5 day,15.866000000000003,15.594,15.35,15.158000000000001,14.856,14.588,14.323999999999998,13.968,13.568000000000001,13.201999999999998,13.245999999999999,13.528,13.644,14.038,14.434000000000003,14.862,15.26,15.538,15.734,15.841999999999999,15.872,15.73,15.656,15.325999999999999,15.175999999999998,14.764,14.453999999999999,14.186000000000002,13.809999999999999,13.634,13.475999999999999
5 hr,15.464886666666652,15.22298000000001,15.025439999999987,14.820756666666675,14.145803333333312,14.158886666666673,14.036980000000012,13.30147333333334,13.006956666666666,13.293926666666666,13.471159999999978,14.075106666666658,14.364446666666657,14.838689999999973,15.542323333333322,15.739946666666661,16.171496666666652,15.567956666666678,15.98034999999998,15.75555,15.672053333333333,15.131890000000013,15.327403333333343,15.21482999999999,14.846719999999996,13.540366666666678,13.950113333333332,13.683346666666669,13.545563333333334,13.757210000000002,12.887490000000014
5 min,15.39,15.078,15.135,14.703,14.032,14.082999999999998,13.75,13.331,12.7,13.575999999999999,13.506,14.056999999999999,14.177999999999997,14.986,15.392000000000001,15.666,16.057,15.535999999999998,15.994,15.765,15.429000000000002,15.338,15.420000000000002,15.45,14.713,13.2786,13.860999999999999,13.616,13.5716,13.849,12.866999999999999
5.5 hr,15.501021212121206,15.245378787878794,15.019581818181804,14.846209090909106,14.153572727272719,14.151345454545469,14.047106060606067,13.336603030303031,13.033054545454549,13.263684848484845,13.46246969696968,14.050048484848487,14.348118181818167,14.818972727272712,15.525063636363623,15.712209090909091,16.150648484848464,15.564112121212133,15.963299999999986,15.76054545454546,15.694493939393936,15.140084848484854,15.326493939393949,15.205263636363625,14.868157575757573,13.577618181818181,13.94407575757576,13.694263636363644,13.54404242424243,13.75876363636364,12.893827272727286
50 day,16.416,16.3912,16.3782,16.3598,16.3398,16.3216,16.2866,16.2404,16.183200000000003,16.076000000000004,15.876800000000005,15.829400000000005,15.788000000000006,15.7688,15.7536,15.752800000000002,15.762800000000002,15.77,15.776800000000001,15.768400000000003,15.708999999999998,15.666599999999999,15.619399999999999,15.517999999999997,15.459399999999999,15.378799999999998,15.306,15.229,15.152799999999997,15.098799999999997,14.892799999999998
50 min,15.398259999999992,15.070519999999998,15.113900000000001,14.685520000000006,13.949519999999996,14.085100000000002,13.753839999999995,13.31216,12.782739999999999,13.437499999999995,13.46254,14.038779999999992,14.239599999999998,14.939800000000002,15.411060000000003,15.760939999999994,16.121399999999994,15.56268000000001,15.931459999999998,15.772319999999993,15.493899999999991,15.291179999999988,15.427219999999995,15.412979999999997,14.740200000000002,13.39970000000001,13.867060000000007,13.611399999999998,13.56709999999999,13.863660000000003,12.902040000000001
55 min,15.393945454545449,15.069472727272723,15.105363636363636,14.683109090909094,13.950745454545453,14.082799999999997,13.755581818181811,13.294418181818184,12.795672727272722,13.433181818181813,13.461854545454548,14.038890909090899,14.24581818181818,14.938,15.41414545454546,15.760363636363632,16.12736363636363,15.566781818181827,15.933509090909093,15.768309090909085,15.496454545454537,15.288981818181806,15.422472727272723,15.41472727272727,14.740000000000004,13.401818181818188,13.870418181818186,13.60352727272727,13.565363636363623,13.862690909090913,12.900818181818183
6 hr,15.51829722222221,15.262944444444452,15.040405555555541,14.871947222222234,14.165241666666661,14.146577777777791,14.054033333333336,13.365036111111113,13.053088888888889,13.233827777777774,13.453666666666662,14.025480555555557,14.32931666666666,14.792711111111096,15.503127777777769,15.693622222222231,16.139272222222203,15.556950000000006,15.941530555555548,15.775280555555552,15.713891666666665,15.150558333333338,15.3314888888889,15.179099999999991,14.892608333333328,13.612922222222226,13.924041666666671,13.700780555555566,13.543477777777788,13.766169444444447,12.916930555555561
6.5 hr,15.53131538461537,15.289897435897446,15.05342564102563,14.896223076923079,14.187884615384608,14.14905897435898,14.06533846153846,13.38657179487179,13.065310256410253,13.205887179487178,13.454289743589733,13.984943589743594,14.305230769230763,14.762615384615366,15.46796410256409,15.67943846153847,16.11866153846152,15.55135128205129,15.916966666666662,15.795884615384617,15.73394871794871,15.173041025641025,15.332415384615397,15.148564102564096,14.918843589743586,13.649910256410257,13.88953846153847,13.71208974358975,13.541233333333336,13.765697435897437,12.947207692307694
60 day,16.438166666666667,16.409000000000002,16.383000000000003,16.356333333333335,16.316333333333336,16.274,16.222666666666665,16.166166666666665,16.101000000000003,15.995833333333335,15.86766666666667,15.851833333333337,15.838500000000005,15.830333333333334,15.826166666666667,15.828333333333337,15.837500000000004,15.828500000000002,15.82216666666667,15.783000000000007,15.76966666666667,15.763333333333337,15.760500000000002,15.7535,15.732166666666668,15.689333333333334,15.6495,15.601833333333333,15.547499999999998,15.491666666666664,15.275166666666662
70 day,16.49428571428572,16.46671428571429,16.450857142857146,16.43228571428572,16.403857142857145,16.36614285714286,16.314142857142862,16.258285714285716,16.19071428571429,16.074857142857145,15.935,15.90142857142857,15.866714285714286,15.840714285714284,15.821714285714283,15.808571428571428,15.804857142857141,15.795142857142855,15.79057142857143,15.808857142857148,15.82957142857143,15.82657142857143,15.824857142857146,15.79571428571429,15.764714285714291,15.716142857142861,15.679000000000002,15.64157142857143,15.60757142857143,15.574714285714286,15.481428571428571
80 day,16.949000000000005,16.883000000000003,16.815000000000005,16.742500000000003,16.660250000000005,16.578000000000007,16.491375000000005,16.401000000000003,16.303375000000006,16.169375000000002,16.054125000000003,16.029875,15.998250000000002,15.968499999999997,15.945374999999995,15.923624999999996,15.910749999999997,15.889374999999996,15.879,15.857624999999999,15.82525,15.8095,15.797875000000001,15.771375,15.758500000000003,15.729375000000005,15.714625000000003,15.697750000000003,15.673875000000004,15.651500000000002,15.561375000000004
90 day,17.31455555555556,17.257000000000005,17.19955555555556,17.136222222222223,17.067555555555558,16.997222222222224,16.92488888888889,16.84888888888889,16.76377777777778,16.60966666666667,16.371888888888893,16.299333333333337,16.227444444444448,16.164444444444445,16.107,16.053444444444445,16.01022222222222,15.993999999999998,15.982777777777779,15.976666666666668,15.934777777777777,15.911666666666664,15.892777777777777,15.852111111111109,15.830555555555556,15.79711111111111,15.768444444444443,15.735333333333331,15.699333333333334,15.667444444444444,15.565111111111113
Tomorrow,15.06,15.1,14.69,14.04,14.05,13.74,13.32,12.69,12.68,13.03,14.09,14.16,15.0,15.38,15.68,16.08,15.55,15.98,15.85,15.85,15.34,15.41,14.95,14.72,13.28,13.86,13.61,13.58,13.84,13.69,12.97
