,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-16,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-28,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
30 min,134.39633333333333,138.20456666666666,135.5392,131.34303333333335,126.90546666666665,130.81550000000004,128.2507,125.23016666666665,120.78256666666668,124.70233333333333,128.1274,128.4016333333333,121.92680000000001,127.9883333333333,132.88536666666673,133.78436666666664,136.49863333333334,136.87036666666665,135.38503333333335,141.2139,138.55103333333332,137.33513333333335,135.9386333333333,140.37699999999998,146.98256666666668,148.85,151.47383333333335,152.33816666666664,152.13446666666667,150.50399999999996,154.4296666666667,159.4648,160.35599999999994,160.13049999999993,159.87270000000004
4 hr,134.60106249999995,138.5988958333334,135.30497499999998,132.09772916666662,128.52277916666665,130.35257500000006,131.75385,124.07897083333327,121.87176666666667,122.86599999999994,128.35032916666674,128.7687916666667,122.80890833333336,128.46104583333334,132.79625000000001,133.37175833333336,136.82282083333337,136.56796666666665,135.5932541666667,140.4222458333333,139.3320791666667,137.1108375,136.0988208333334,140.24558333333337,147.65100833333344,148.87568333333337,152.1107583333331,152.3824250000001,152.09957083333342,150.0061833333333,154.75049999999993,158.9762333333333,160.49239583333343,160.45003749999998,160.13895
4.5 hr,134.73366666666666,138.68609259259264,135.3134037037037,132.27377777777784,128.78139259259254,130.31895925925926,131.97922962962963,123.92389999999995,121.9873037037037,122.61834074074068,128.286425925926,128.71902592592596,123.09955185185183,128.40949259259264,132.78036296296298,133.2902518518519,136.70237777777777,136.5343814814814,135.64069999999995,140.2273259259259,139.42307037037034,137.16230000000002,136.14872592592604,140.23424074074074,147.67194444444453,148.85511851851857,152.0996074074072,152.4772333333334,152.12999259259257,149.99431481481471,154.78537037037026,158.9053185185185,160.3881555555556,160.4701407407408,160.1442592592593
40 day,134.63950000000006,134.71925000000005,134.57300000000004,134.31625000000003,134.06575000000004,134.00075,133.813,133.58325,133.46775,133.206,133.30374999999998,133.147,132.84,132.7095,132.685,132.55875,132.46275,132.49174999999997,132.93975,133.401,133.80125,133.8625,133.94650000000004,134.04375000000005,134.0475,134.07375000000002,134.3675,134.67450000000002,135.16725000000002,135.55575000000002,136.48625,137.0855,137.79874999999998,138.6155,139.35975
45 min,134.45220000000003,138.21393333333333,135.60322222222223,131.4082888888889,127.00033333333334,130.50180000000003,128.32402222222223,125.49666666666664,120.79306666666665,124.3851333333333,128.08033333333333,128.36655555555552,121.79464444444443,128.00264444444443,132.8607555555556,133.79384444444443,136.59937777777776,136.84046666666666,135.4968666666667,141.1876444444444,138.57253333333333,137.32653333333332,135.9326,140.3265777777778,147.0468,148.79655555555553,151.59164444444443,152.47093333333336,152.1033111111111,150.4123333333333,154.50577777777778,159.4403555555555,160.47231111111105,160.13255555555548,159.94446666666667
5 day,136.28799999999998,135.878,134.964,134.75,133.2,132.542,130.60999999999999,128.482,126.242,123.522,125.5,127.62800000000001,126.81200000000001,126.98600000000002,128.084,129.13600000000002,130.698,133.67000000000002,135.87600000000003,136.83200000000002,137.694,138.016,138.166,139.09,143.24200000000002,144.64,146.80399999999997,149.256,150.512,151.18400000000003,152.828,154.252,155.802,157.67799999999997,158.88599999999997
5 hr,134.84798666666666,138.8082333333334,135.28814333333338,132.45209333333338,129.03772666666663,130.2763133333333,132.11650666666665,124.06422333333333,122.09455666666666,122.29586999999997,128.2255866666667,128.73381000000003,123.30289666666664,128.34257000000002,132.70719666666668,133.27567000000005,136.55801333333326,136.56492333333333,135.66074666666668,140.06538000000006,139.51373666666666,137.24964333333344,136.1205400000001,140.26558000000003,147.63209000000006,148.81320000000005,152.06125999999983,152.54557333333335,152.16776666666664,150.04233999999988,154.8056033333332,158.81219666666664,160.3375966666667,160.42121333333344,160.15976999999998
5 min,133.858,137.9066,135.581,131.565,127.23000000000002,130.85200000000003,128.529,124.782,120.63,125.744,128.092,128.84699999999998,121.8792,128.26000000000002,132.91500000000002,133.7694,136.52,136.74200000000002,135.4042,141.44199999999998,138.478,137.31,136.074,140.70559999999998,147.176,149.00799999999998,151.495,152.295,152.24599999999998,150.43,154.504,159.47799999999998,160.129,159.98399999999998,160.142
5.5 hr,135.01951515151504,138.83857878787884,135.26046363636368,132.64914545454548,129.15629393939392,130.2438030303029,132.27836666666664,124.39999393939394,122.31496060606058,122.0021424242424,128.20056363636363,128.6359090909091,123.35604848484846,128.24536060606064,132.5961787878788,133.25167575757584,136.36197272727267,136.61426363636363,135.63719393939397,139.85157272727278,139.63616060606057,137.39423939393956,136.15228181818193,140.29705151515154,147.59170606060613,148.79486363636371,152.01453030303014,152.61813030303028,152.1921515151515,150.1399999999999,154.81993030303013,158.67688181818178,160.31152424242424,160.38671515151532,160.21128181818182
50 day,136.91220000000004,136.55800000000005,136.19100000000006,135.72360000000006,135.22700000000003,134.79860000000005,134.437,134.07840000000004,133.81440000000003,133.31800000000004,132.62720000000002,132.4606,132.234,132.0868,132.0588,132.2378,132.373,132.61299999999997,133.175,133.387,133.4942,133.4656,133.37440000000004,133.71820000000002,134.4926,134.7932,135.3102,135.8976,136.2424,136.59980000000004,137.19820000000004,137.5258,137.8154,138.12420000000003,138.3708
50 min,134.43758000000003,138.2499,135.55810000000002,131.43666,127.05624000000003,130.38312000000005,128.38002,125.54017999999998,120.83578,124.29893999999996,128.05534,128.37643999999997,121.75837999999996,128.00933999999998,132.84596000000008,133.78635999999997,136.61684,136.81611999999998,135.52448000000004,141.18813999999998,138.56145999999998,137.28748,135.94794000000002,140.30632000000003,147.07432,148.78221999999997,151.61747999999997,152.49244000000002,152.09892,150.37969999999999,154.516,159.42531999999997,160.49687999999995,160.13711999999995,159.9774
55 min,134.37694545454548,138.25436363636362,135.5357272727273,131.44054545454543,127.08567272727274,130.25592727272732,128.34072727272726,125.54259999999998,120.91545454545454,124.2158545454545,128.0603090909091,128.39476363636362,121.7520727272727,128.01939999999996,132.82065454545463,133.77029090909087,136.63385454545457,136.7993818181818,135.5493454545455,141.18012727272725,138.55623636363634,137.24934545454545,135.96758181818183,140.28538181818186,147.1261090909091,148.7729636363636,151.64170909090907,152.51785454545458,152.09065454545453,150.3535636363636,154.5332909090909,159.41610909090906,160.50370909090904,160.1689636363636,160.0120909090909
6 hr,135.21803611111102,138.82235555555565,135.38349444444455,132.84432777777786,129.1797611111111,130.157661111111,132.4378972222222,124.71846111111114,122.47835277777779,121.785475,128.21365555555556,128.49694166666666,123.46454722222217,128.0759055555556,132.4006111111111,133.3076527777778,136.17539444444438,136.58951111111114,135.7148305555556,139.5470222222223,139.753425,137.62442500000014,136.18334166666676,140.3199944444444,147.5402555555556,148.80346944444452,151.94958055555543,152.65223055555558,152.144461111111,150.2177972222221,154.78221388888875,158.5458083333333,160.25134999999995,160.35577222222236,160.2382527777778
6.5 hr,135.40532564102554,138.71934102564109,135.52967435897446,132.892258974359,129.1776846153846,130.13824102564087,132.48732564102568,124.9559,122.63091282051279,121.66266153846155,128.23816666666664,128.2908846153846,123.65304615384605,127.78426923076928,132.17858717948718,133.41181282051284,136.01691282051274,136.51051794871796,135.80890512820517,139.3655692307693,139.83705897435897,137.83043333333345,136.1997461538462,140.25605897435887,147.49212051282058,148.7466282051283,151.8374333333332,152.64533333333335,152.1715743589743,150.24939230769218,154.77956923076908,158.39222820512813,160.22397692307692,160.2543512820514,160.2368282051282
60 day,139.50516666666667,139.35633333333334,139.13600000000002,138.85433333333336,138.42166666666668,138.05800000000002,137.64633333333333,137.13850000000002,136.5631666666667,135.4321666666667,134.08150000000003,133.69583333333335,133.19333333333336,132.89450000000002,132.72550000000004,132.7316666666667,132.8296666666667,132.80516666666668,132.59833333333333,132.75516666666667,132.8375,133.047,133.14766666666668,133.71450000000002,134.42983333333333,134.67883333333333,134.98033333333333,135.29233333333335,135.51500000000001,135.68083333333337,136.40116666666668,136.8781666666667,137.38816666666668,137.8156666666667,138.25416666666666
70 day,141.15257142857143,140.91600000000003,140.65857142857146,140.40385714285716,140.09628571428573,139.8307142857143,139.50757142857142,139.137,138.7015714285714,137.86614285714288,136.99957142857144,136.6528571428572,136.21642857142862,135.86571428571432,135.5417142857143,135.2424285714286,134.96771428571432,134.69057142857145,133.6374285714286,133.352,133.2977142857143,133.35471428571432,133.4284285714286,133.57228571428575,133.7562857142857,133.9832857142857,134.21114285714282,134.4725714285714,134.86342857142853,135.15699999999998,136.0147142857143,136.49442857142859,136.9341428571429,137.2871428571429,137.66171428571434
80 day,141.67112500000002,141.739125,141.76225000000005,141.71200000000005,141.591125,141.51950000000002,141.156125,140.784875,140.32850000000002,139.51250000000002,138.58725,138.33925000000005,137.99775000000005,137.71687500000002,137.49,137.278625,137.09600000000003,136.913,136.23212500000002,135.89462500000002,135.69037500000005,135.47375000000005,135.22437500000007,134.86487500000004,134.52075,134.484125,134.55137499999998,134.670875,134.905625,135.1515,135.60275000000001,135.82925,136.0575,136.340625,136.68025
90 day,140.795,140.8587777777778,140.87233333333336,140.83133333333336,140.755,140.70466666666667,140.63,140.536,140.38377777777777,140.1556666666667,139.9518888888889,139.86322222222225,139.7025555555556,139.38122222222225,139.13777777777779,138.8828888888889,138.67288888888893,138.48233333333334,137.77788888888892,137.5368888888889,137.4056666666667,137.258,137.0876666666667,136.9185555555556,136.729,136.692,136.67822222222222,136.64511111111113,136.6168888888889,136.55644444444445,136.52611111111113,136.58855555555556,136.6458888888889,136.733,136.8257777777778
Tomorrow,137.79,135.57,131.5,127.27,130.58,128.13,124.93,120.3,118.32,127.41,128.96,121.85,128.28,132.72,133.87,136.77,136.71,136.74,136.5,139.06,137.49,136.05,142.08,140.16,149.07,151.59,152.42,152.28,150.56,154.31,159.54,160.03,159.94,160.35,NULL
