,2018-12-11,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-14,2019-02-15
30 min,508.76410000000004,511.6462000000001,492.5806666666666,480.0500999999999,484.2253333333334,470.86566666666664,460.87683333333337,447.99916666666667,457.6074333333333,477.29603333333336,463.9891333333334,451.7942666666666,479.3403333333333,482.30776666666674,517.8708,518.3955666666667,503.9925666666667,502.9739666666667,517.2410666666667,532.7712666666665,542.3451,534.8999333333333,528.4025333333334,534.8798333333333,513.1571,496.8071,493.96836666666655,508.48940000000005,522.9225666666667,523.5588666666667,523.3309666666667,521.3638666666666,508.81049999999993,516.5830333333334,529.9648000000001,540.2329666666666,536.5045000000002,546.5349
4 hr,504.84112916666635,510.5988708333337,496.5846041666666,481.9160083333333,484.0459583333333,482.81356249999976,459.40056666666686,452.0925208333332,452.1747291666667,477.43155416666656,466.0476374999999,454.55960416666653,478.97040416666647,479.3461958333337,516.6459958333334,516.6361500000002,503.41314166666683,501.6108500000002,518.6198666666666,528.55675,540.3932374999997,534.9580625,526.7317833333335,533.1437291666667,513.9551458333334,499.47032083333346,494.02030416666656,501.9696125000001,523.070404166667,521.8405250000003,521.6788208333336,518.6275124999999,509.3708583333331,513.8377249999998,529.6759999999998,541.6536375000001,535.0687041666665,545.1677999999996
4.5 hr,504.80428518518465,510.9345111111114,496.882362962963,482.41644444444444,483.9334037037037,483.31384444444427,459.00186296296323,452.4412296296295,451.4468592592593,477.50005555555555,466.1495888888889,455.13771111111095,479.3759481481479,478.65685555555575,516.0539629629629,516.7241222222226,503.39684074074063,501.6662185185187,518.7190777777774,528.014622222222,540.3199333333331,535.0836296296294,526.4567481481486,533.2609555555556,514.7615148148149,499.62747037037065,493.8684407407406,501.3284925925928,523.2453851851857,522.1143925925927,521.6575888888891,518.6279370370368,509.41044444444407,513.4237296296291,529.5309999999998,541.4447481481482,534.418585185185,545.0555703703701
40 day,510.72249999999997,509.86449999999996,508.5869999999999,507.57349999999997,507.02599999999995,506.0387499999999,504.8625,503.93525,501.86175000000014,500.0857500000001,498.77125000000007,497.1217500000001,495.19750000000005,493.63025000000005,493.0575,492.69524999999993,492.72824999999995,492.7099999999999,493.1877499999999,493.5812499999999,495.07825,496.36674999999997,497.32499999999993,498.48875,498.78274999999996,498.7795,498.08824999999996,497.77599999999995,497.59525,496.98825000000005,497.17350000000005,497.9300000000001,498.21125,498.43600000000004,498.7817500000001,499.46825000000007,501.86800000000005,503.5215000000001
45 min,508.8704666666668,511.7003555555556,493.108511111111,480.08422222222214,482.9605333333333,470.88575555555565,461.5623555555555,448.4398666666666,456.14533333333344,477.12891111111117,463.79815555555575,451.60360000000003,479.24786666666654,481.8707111111111,518.1197555555555,517.9784000000001,503.5355555555556,503.40146666666675,517.8347333333334,532.1198666666666,541.9720888888887,534.598733333333,528.2148666666667,534.5475333333333,513.3176888888888,497.0151333333332,493.91826666666657,508.1413111111111,522.4849555555556,522.9527333333333,523.053,520.7366000000001,508.73848888888887,516.7045333333334,530.0396000000001,540.6380222222222,536.5041333333334,546.0462666666667
5 day,507.1540000000001,505.148,505.172,501.9,496.76000000000005,488.01800000000003,477.544,468.38599999999997,454.938,463.13800000000003,469.366,467.01800000000003,469.062,469.87600000000003,480.092,493.658,500.38599999999997,505.23999999999995,511.49799999999993,514.74,522.1859999999999,529.0,531.8979999999999,535.936,532.088,522.924,514.418,510.12399999999997,507.628,509.55,520.4179999999999,523.112,520.256,518.736,520.1419999999999,523.506,531.1540000000001,537.4440000000001
5 hr,504.98784666666614,511.2819100000003,497.2981066666667,482.9126099999997,483.94686333333345,483.65258666666654,459.2657500000002,453.0231166666667,450.44696333333343,477.63968999999963,466.3480800000002,455.2012466666664,479.65812333333315,478.14728333333335,515.4792499999996,516.7253933333337,503.5474833333332,501.75004666666666,518.6902533333331,527.5161766666665,540.1337866666663,535.2451433333331,526.3745600000008,533.3146233333332,515.7066933333333,500.0335233333335,493.6654699999995,500.6399100000002,523.2739866666674,522.4532300000002,521.7553233333335,518.7553699999996,509.7656666666662,513.0447366666665,529.3600233333331,541.2658766666667,533.8444299999998,544.8290333333331
5 min,507.948,512.4110000000001,492.754,481.7,483.396,473.1588,459.04179999999997,446.3358,461.436,476.282,465.416,450.73999999999995,479.037,482.8268,517.057,517.9839999999999,505.0928,502.89399999999995,516.3804,533.6282,541.943,534.9309999999999,529.313,535.8716000000002,514.8979999999999,496.706,494.31800000000004,508.37199999999996,523.912,524.5994,523.3456,521.9032,508.975,516.1139999999999,529.036,539.8399999999999,536.3976,548.1320000000001
5.5 hr,505.3362878787873,511.8745181818185,497.837181818182,482.9307666666664,483.8572363636363,483.9922606060605,459.8259212121214,453.9143363636364,449.56251212121225,477.88827575757546,466.1655515151514,454.7136696969696,479.77335757575736,477.8070818181818,514.4899909090905,516.5550424242425,503.9552181818182,501.8864303030303,518.7297575757573,526.7857272727273,539.6967969696965,535.4768818181814,526.5951121212127,533.4529393939393,516.4517454545454,500.3069000000001,493.24590303030254,499.943881818182,523.0619030303035,522.8064181818181,522.0406727272731,518.6325454545449,510.2502848484847,512.6222424242421,528.9498848484845,540.8490121212119,533.4086212121209,544.7606909090907
50 day,516.9974,514.6306,513.2373999999999,511.7836,510.4566,509.3655999999999,507.939,506.6152,503.74780000000004,500.02200000000005,498.8968,497.81640000000004,496.45200000000006,496.4496000000001,496.93340000000006,497.557,498.1062,498.344,498.17599999999993,498.5371999999999,499.24019999999996,499.582,499.2673999999999,499.1894,498.8389999999999,498.69359999999995,498.5098,498.7066,498.9066,499.02880000000005,500.57700000000006,501.18360000000007,501.5794,501.8548000000001,502.50680000000017,502.8630000000001,503.2172000000001,503.20860000000016
50 min,508.91932,511.59187999999995,493.26465999999994,480.1621,482.65232,470.95622000000003,461.54511999999994,448.6453399999999,455.78900000000016,476.95882000000006,463.77090000000027,451.53356,479.2039999999999,481.73930000000007,518.1969799999999,517.7625600000001,503.54420000000005,503.4816,517.9638600000001,531.8617399999998,541.8693399999999,534.4521799999998,528.13038,534.4181199999999,513.13772,497.1811999999999,493.86475999999993,508.00550000000004,522.3437600000001,522.73666,522.9612999999999,520.5405400000001,508.64324,516.63878,530.08604,540.69462,536.48044,545.94532
55 min,508.67883636363626,511.51,493.29083636363623,480.1631454545455,482.3073636363636,470.75918181818184,461.3532545454545,448.94467272727263,455.48750909090927,476.8953272727274,463.7820363636366,451.5632363636363,479.1351999999999,481.5581454545455,518.1767818181817,517.5505090909091,503.54834545454554,503.50345454545464,518.0700545454546,531.7462181818181,541.7577818181817,534.307436363636,528.0290727272727,534.3539454545455,512.8962545454546,497.3230909090908,493.8099636363636,507.9699090909091,522.2845090909091,522.5752909090909,522.9399454545454,520.3728545454546,508.5810909090909,516.4818,530.0738363636364,540.7602909090908,536.5431454545455,545.8873272727274
6 hr,505.6949583333329,512.8165833333334,498.4698083333334,482.6472305555552,483.7341083333334,484.1653583333334,460.3517000000003,454.31568055555545,448.86861111111114,478.16770555555536,466.24568333333315,454.33703611111105,479.84974166666643,477.8344027777777,513.5170027777773,516.4061111111113,504.47127222222247,501.84029444444457,519.1069666666664,526.1939027777779,539.058797222222,535.7059333333328,527.3266000000006,533.3568666666667,516.7839777777777,500.7283555555556,492.97897222222156,499.48598888888904,522.611330555556,522.890063888889,522.4119000000002,518.3354611111106,510.8159027777775,512.1537527777776,528.5749277777776,540.3855611111111,533.1078388888886,544.7034305555551
6.5 hr,505.8763538461535,513.4740333333334,498.9530051282054,482.410087179487,483.8408564102566,484.07570769230773,460.90727179487214,454.32406666666657,448.4548205128206,478.13462564102554,466.5668051282051,454.49860769230776,479.6738358974358,478.21244358974343,512.3339461538457,516.1989794871795,505.0451076923078,501.8684717948719,519.2019564102565,525.5359333333336,538.6186076923076,535.6970897435893,527.9394102564107,533.2670948717949,517.0738743589743,501.23145641025644,493.2496487179481,499.4527358974359,521.8559282051287,522.697641025641,522.462548717949,518.5692179487174,511.394946153846,511.74533846153855,528.2471487179486,539.7952846153847,532.9957666666664,544.6938897435892
60 day,525.0741666666667,523.481,522.4033333333333,521.0795,519.8393333333332,518.2168333333333,516.3116666666667,514.253,510.1393333333334,505.32483333333334,503.85133333333334,502.21016666666674,500.4175000000001,499.9305000000001,500.07866666666666,499.84616666666665,499.61333333333334,498.9433333333333,498.37983333333324,498.88016666666664,499.3991666666667,499.89666666666665,500.67733333333325,501.39733333333334,501.8665,502.181,502.2381666666667,502.0265,502.11033333333336,502.2508333333334,502.5546666666667,502.1591666666667,501.64816666666667,501.3896666666667,501.8140000000001,502.41850000000005,503.3730000000001,503.8723333333335
70 day,528.6005714285715,527.3412857142857,526.6997142857142,525.841,525.0467142857142,524.0472857142856,522.8112857142858,521.3321428571429,518.042,514.3117142857143,512.9524285714286,511.4305714285715,508.66857142857145,507.43214285714294,506.6810000000001,505.88200000000006,504.8902857142858,503.9078571428572,502.70042857142846,502.4942857142857,502.7239999999999,502.80357142857144,503.05699999999996,503.45557142857143,503.213,502.89071428571447,502.19557142857155,501.70371428571434,501.7230000000001,502.0142857142858,502.3997142857143,502.9545714285714,503.1894285714286,503.6202857142858,504.3574285714286,505.0558571428573,505.48100000000005,505.9421428571429
80 day,529.9301250000001,529.650125,529.184625,528.519,527.8333749999999,526.963375,525.8966250000001,524.6605,522.006625,519.0825,518.134625,517.038125,515.311125,514.479,513.9576250000001,513.3290000000001,512.6623750000001,511.8860000000001,510.80774999999994,510.5266250000001,510.192625,509.7250000000001,509.23012500000004,508.81050000000005,508.0735000000001,507.0983750000002,506.13300000000015,505.4706250000001,505.08562500000016,504.78487500000017,504.6303750000002,504.75212500000015,504.76637500000015,504.57925000000023,504.7063750000002,504.66637500000024,504.7207500000001,505.2737500000001
90 day,529.0525555555556,528.8801111111111,528.5902222222222,528.1732222222223,527.725111111111,527.1795555555556,526.5075555555555,525.5855555555555,523.9211111111111,522.1376666666666,521.3713333333334,520.4050000000001,518.8870000000001,518.1990000000001,517.789,517.3767777777778,516.7692222222223,516.1767777777778,515.6524444444444,515.6115555555556,515.619,515.5121111111112,515.2942222222223,515.042,514.4495555555557,513.7615555555557,512.9774444444446,512.4442222222224,512.0271111111113,511.67022222222243,510.579777777778,510.0510000000002,509.38066666666685,508.7478888888891,508.244777777778,507.89177777777803,507.37666666666684,507.37433333333354
Tomorrow,515.63,491.81,481.75,482.36,471.92,459.88,446.02,434.89,468.7,466.03,450.24,471.68,482.99,517.11,518.07,505.32,502.71,515.46,534.28,542.55,536.78,529.95,536.12,515.04,496.73,494.25,508.48,523.64,524.65,522.43,521.95,509.36,517.05,529.46,539.71,533.47,548.5,NULL
