,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2019-01-03,2019-01-04,2019-01-07,2019-01-18,2019-01-23,2019-01-31,2019-02-04,2019-02-06,2019-02-07
5 hr,379.83777999999984,372.4319200000002,367.0635266666668,358.13770666666653,348.4051566666663,353.8317233333332,376.67558333333346,398.1243699999999,397.9256100000002,416.3248133333337,398.81178333333344,425.6070300000001,423.9173433333333,411.18330333333336,407.49312666666657
5 min,375.29200000000003,369.48199999999997,361.3016,355.486,345.57399999999996,362.6329999999999,372.618,397.308,396.72200000000004,418.029,401.258,429.77,425.33000000000004,407.467,406.1588
5.5 hr,379.9892696969694,372.8380242424243,367.2928242424243,358.3830636363636,348.97276363636337,352.720109090909,376.480106060606,397.823621212121,397.7305000000001,416.0535333333335,399.22190303030305,425.41782727272727,423.92857878787873,411.38980606060613,407.8631484848486
50 day,364.67799999999994,364.22259999999994,363.55359999999996,362.82759999999996,362.0808,361.0428000000001,358.7478,358.9428,359.26160000000004,370.42440000000005,372.10640000000006,380.4844000000001,383.909,386.8518,388.16380000000004
50 min,374.95268,367.0956,359.95407999999986,357.6606199999999,346.18350000000004,359.23446000000024,375.0039199999999,398.51254000000006,397.5034600000001,417.06228000000004,400.0752,428.69325999999995,424.44232000000005,409.6956999999999,405.725
55 min,375.1432727272727,366.93781818181816,359.7411636363636,357.5717454545454,346.4446363636364,359.09607272727294,374.97374545454534,398.49830909090923,397.52487272727285,416.9868363636365,399.985,428.5228727272728,424.40785454545454,409.7906363636362,405.7641999999999
6 hr,379.9881111111105,373.1777555555556,367.5950416666666,358.65105277777786,349.6057749999997,351.7918055555554,376.4349305555556,397.1606166666662,397.6986722222223,415.6554972222224,399.73722500000025,425.18721944444457,424.0320888888888,411.7490722222222,408.2717250000002
6.5 hr,379.60175641025575,373.5744871794874,367.8444333333331,358.70430000000016,350.2113538461535,351.24059230769194,376.7439717948718,396.303192307692,397.6747666666667,415.5313051282053,400.0708871794875,424.84378205128223,424.22803589743575,412.6008333333333,408.2690076923077
60 day,369.9313333333332,369.5766666666666,369.0851666666666,368.52149999999995,367.7393333333333,365.9708333333334,363.70033333333333,363.75699999999995,363.82533333333333,366.73016666666666,367.9615000000001,375.6866666666668,378.15383333333347,379.91616666666675,380.63483333333346
70 day,372.9233571428571,372.546,372.05542857142854,371.5191428571428,370.8865714285714,369.6587142857143,368.36414285714284,368.4692857142857,368.5632857142857,369.74414285714283,370.1940000000001,372.77000000000015,373.88314285714296,375.2477142857144,376.2408571428573
80 day,375.86656249999993,375.73918749999996,375.54381249999994,375.14118749999994,374.5730625,373.18306250000006,371.113875,371.14525,371.181,373.119,373.42375000000004,374.7558750000001,375.6262500000001,376.2903750000001,376.72525000000013
90 day,375.38183333333313,375.34694444444426,375.25716666666654,375.14361111111106,374.90327777777776,374.5730555555556,374.1113888888889,374.3471666666667,374.43816666666675,374.98099999999994,375.24,377.13833333333343,377.97255555555563,378.483888888889,378.4890000000001
