,2018-12-13,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2019-01-04,2019-01-09,2019-01-14,2019-01-16,2019-01-18,2019-02-08,2019-02-12,2019-02-14,2019-02-15
45 min,23.90388888888888,22.82395555555555,23.158222222222214,22.80966666666666,21.95393333333333,21.238133333333337,21.384755555555554,22.316755555555552,21.562177777777773,22.483666666666675,22.832866666666682,23.596133333333334,23.82644444444443,22.018822222222216,22.489555555555558
5 day,24.60044,23.85104,23.507160000000002,23.08376,22.71304,22.313740000000003,21.348000000000003,21.709999999999997,22.264,22.333999999999996,22.374,23.506,23.532,23.232,22.996000000000002
5 hr,23.864690000000007,23.066230000000022,23.060250000000025,23.16313333333336,21.94465333333332,21.497473333333314,21.34857666666667,22.190473333333326,21.49206333333334,22.46854999999998,22.856613333333346,23.501856666666665,23.513383333333362,22.14374333333335,22.459620000000015
5 min,23.889,22.805,23.139,22.901,21.877999999999997,21.317,21.391,22.336000000000002,21.628999999999998,22.469,22.824,23.681,23.811,21.97,22.509
5.5 hr,23.892393939393948,23.070224242424256,23.051342424242453,23.179406060606077,21.975978787878777,21.535690909090892,21.337872727272725,22.176254545454533,21.52407575757577,22.458348484848468,22.84508484848486,23.497448484848487,23.514369696969727,22.161296969696988,22.453460606060617
50 day,24.486721999999997,24.41337399999999,24.386539999999997,24.355331999999994,24.30712799999999,24.274551999999993,23.846795999999998,23.735652000000005,23.677255999999996,23.602235999999998,23.529483999999993,23.077342,23.005608,22.883529999999997,22.814331999999993
50 min,23.896939999999987,22.83736,23.148799999999987,22.806999999999995,21.953740000000003,21.245720000000002,21.385540000000002,22.312459999999998,21.56209999999999,22.484900000000003,22.830420000000007,23.59382,23.82319999999999,22.01785999999999,22.4897
55 min,23.88987272727271,22.845781818181823,23.138272727272714,22.79636363636363,21.946672727272727,21.25701818181818,21.38685454545455,22.307781818181816,21.56165454545454,22.48609090909091,22.828927272727274,23.590363636363637,23.819090909090896,22.02041818181817,22.486090909090912
6 hr,23.92524444444445,23.06366111111112,23.052100000000024,23.19667500000002,22.008216666666655,21.56449999999999,21.321574999999996,22.17673055555554,21.56411666666667,22.46148333333332,22.82916944444445,23.49044444444445,23.50663055555558,22.18813611111112,22.453350000000015
6.5 hr,23.964033333333347,23.06621282051284,23.061443589743618,23.20603076923079,22.0430282051282,21.57427179487178,21.292807692307683,22.1785205128205,21.611689743589743,22.46215384615382,22.817874358974358,23.47867948717948,23.415812820512848,22.231138461538475,22.437725641025654
60 day,24.67048833333333,24.58501499999999,24.539793333333325,24.490596666666658,24.425911666666657,24.357023333333323,23.85710999999999,23.793975,23.725101666666664,23.661756666666665,23.595829999999992,23.323901666666675,23.28201333333334,23.21225,23.177113333333335
70 day,24.791847142857144,24.723552857142852,24.690322857142853,24.651565714285713,24.599399999999996,24.538942857142853,24.044225714285705,23.88674714285714,23.75516142857142,23.68553142857142,23.64052285714284,23.492345714285715,23.49846857142857,23.450882857142854,23.42630285714285
80 day,24.87347375,24.821624999999997,24.794278749999997,24.762220000000003,24.72003375,24.668863749999996,24.240869999999997,24.11131,23.984431249999993,23.905242499999993,23.831322499999985,23.561656249999995,23.556701249999996,23.514442499999994,23.486723749999992
90 day,24.85096444444444,24.808501111111106,24.78836666666666,24.767008888888896,24.738186666666667,24.70137888888889,24.384862222222214,24.27079555555555,24.155049999999992,24.088524444444438,24.029773333333317,23.631355555555547,23.598792222222208,23.549302222222217,23.529522222222212
Tomorrow,23.2865,22.9685,22.72,21.9,21.29,20.7,21.88,22.61,22.3,22.59,22.69,23.45,23.23,22.53,NULL
