,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-22,2019-01-24,2019-01-25,2019-01-30,2019-02-04
4.5 hr,0.14210629629629634,0.09968851851851868,0.12236296296296306,0.10889888888888889,0.08360037037037041,0.07920333333333342,0.08816259259259254,0.21640592592592595,0.2694937037037036,0.2861011111111109,0.24962629629629637,0.24461666666666643,0.29128888888888915,0.40985407407407376,0.4158544444444442,0.3427614814814812,0.29079814814814803
40 day,0.5639325000000002,0.5294325000000001,0.49571000000000004,0.46285500000000007,0.42902000000000007,0.39605750000000006,0.3242350000000001,0.29374,0.2894825000000001,0.28548000000000007,0.28056000000000003,0.2751500000000001,0.24393000000000006,0.24139000000000005,0.24181000000000002,0.24182000000000006,0.23562000000000008
45 min,0.13847111111111113,0.08985333333333335,0.12059555555555554,0.10408444444444444,0.08282222222222224,0.07954444444444446,0.08438666666666668,0.21928666666666669,0.2632400000000001,0.2916088888888888,0.24799999999999983,0.2423777777777779,0.2948377777777778,0.3775177777777777,0.42412888888888894,0.31040666666666666,0.2745444444444444
5 day,0.26864,0.2125,0.16606,0.11942000000000001,0.10474000000000001,0.095,0.08104,0.12323999999999999,0.16162,0.20505999999999996,0.23232,0.25830000000000003,0.26796,0.31470000000000004,0.34054,0.38902000000000003,0.3266
5 hr,0.1409150000000001,0.0998043333333335,0.12114666666666665,0.10923633333333337,0.08349600000000006,0.07937033333333343,0.08820566666666657,0.20893566666666666,0.2726103333333332,0.28446166666666645,0.25053733333333367,0.24481366666666654,0.2894240000000001,0.4117203333333331,0.4155739999999997,0.3475379999999995,0.2925496666666669
5 min,0.13044,0.08092,0.11979999999999999,0.10306,0.08512,0.08086,0.08592,0.21827999999999997,0.27368000000000003,0.29676,0.24803999999999998,0.24250000000000002,0.29718,0.37698,0.41838,0.31552,0.27236
5.5 hr,0.13988696969696984,0.0997324242424244,0.11959606060606068,0.10927969696969701,0.08373393939393944,0.07913363636363645,0.08815757575757567,0.20268909090909087,0.27500090909090896,0.28299272727272706,0.25154212121212166,0.24443151515151512,0.2876233333333334,0.4113981818181818,0.41565484848484824,0.35154424242424204,0.2937666666666669
50 day,0.7411460000000001,0.710746,0.682968,0.6550840000000001,0.627416,0.600046,0.522588,0.41735600000000006,0.39455000000000007,0.37175,0.34871,0.32798600000000006,0.2732800000000001,0.26924800000000004,0.27038600000000007,0.27107600000000004,0.2666300000000001
50 min,0.138656,0.09080600000000003,0.12092599999999998,0.10388,0.08271200000000002,0.07948000000000001,0.08395799999999999,0.218298,0.26311000000000007,0.29097199999999995,0.24773799999999987,0.24246400000000012,0.294242,0.3779859999999999,0.423582,0.310872,0.27462400000000003
55 min,0.13881090909090907,0.09156727272727276,0.12126909090909087,0.10401090909090911,0.08262727272727273,0.07948727272727275,0.08371636363636362,0.21875636363636367,0.26310000000000006,0.29016181818181813,0.2471763636363635,0.24260363636363644,0.29372545454545457,0.3782690909090908,0.42354727272727277,0.31150545454545453,0.2747400000000001
6 hr,0.13924027777777792,0.09990111111111125,0.11794250000000009,0.1094488888888889,0.08432083333333339,0.07908777777777785,0.08789333333333325,0.19680805555555567,0.2782888888888888,0.282127222222222,0.2524775000000005,0.2442688888888889,0.28598805555555556,0.4094525000000001,0.4160880555555554,0.3550655555555553,0.2954097222222225
6.5 hr,0.1394300000000001,0.10057820512820527,0.11591076923076937,0.11004307692307695,0.08502358974358983,0.07912564102564108,0.08774461538461534,0.1912697435897436,0.28048153846153845,0.2828205128205127,0.25354717948718,0.24457410256410256,0.2848430769230769,0.40876076923076937,0.41680999999999974,0.3583661538461538,0.29736948717948747
60 day,0.8986216666666669,0.8714550000000002,0.8448066666666668,0.8184033333333336,0.7915133333333334,0.7645383333333334,0.6838233333333333,0.5864633333333333,0.566125,0.5466250000000001,0.5265916666666667,0.5084883333333333,0.3312850000000001,0.2984433333333334,0.2981833333333334,0.2961483333333334,0.28834333333333345
70 day,1.0141042857142857,0.9886757142857141,0.9655485714285713,0.9426314285714286,0.9198685714285714,0.8971757142857142,0.8285628571428573,0.7389685714285715,0.7188214285714287,0.6988214285714287,0.6780785714285715,0.6575614285714286,0.48624428571428574,0.4576657142857143,0.4435857142857143,0.39831571428571433,0.34955571428571436
80 day,1.1302162499999997,1.1072162499999996,1.0843549999999995,1.0611774999999997,1.0373849999999998,1.0135287499999996,0.9433674999999999,0.8578474999999999,0.83996875,0.8227187500000002,0.80494375,0.78686625,0.6238387500000001,0.5904575000000001,0.5743875,0.52802625,0.48348625000000006
90 day,1.2026366666666661,1.1854144444444439,1.1660933333333328,1.1472688888888884,1.1287866666666662,1.110136666666666,1.0534377777777775,0.9754199999999996,0.9567499999999997,0.9379722222222221,0.9186166666666665,0.8996588888888888,0.7426344444444445,0.7132955555555556,0.6991222222222223,0.6554677777777779,0.6088766666666667
Tomorrow,0.08,0.1211,0.1058,0.0866,0.0815,0.0791,0.0828,0.2797,0.3,0.248,0.2438,0.2285,0.3299,0.4144,0.4349,0.3204,0.324
