,2018-12-11,2018-12-14,2018-12-17,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-09,2019-01-11,2019-01-14,2019-01-18,2019-01-24,2019-01-25,2019-01-30,2019-02-01,2019-02-04,2019-02-05,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14
5.5 hr,313.9334333333332,310.6600636363637,309.31319696969683,305.2196333333334,295.09987272727255,288.18532727272736,278.5566666666668,286.1761242424243,290.40871515151514,301.7026303030304,302.56540909090916,298.20284848484835,292.5260030303032,292.60287272727237,291.42280606060604,284.9225484848488,289.3469090909093,290.80750606060604,339.65012727272716,339.2659818181819,336.9322151515152,342.2054181818181,339.396839393939,340.97707575757573,339.10166060606036,340.9248909090911
50 day,318.427,317.7052,317.39720000000005,316.7422,316.0984,315.5744000000001,314.54560000000004,311.94380000000007,311.26700000000005,310.92960000000005,310.6012,310.15100000000007,309.97800000000007,309.48480000000006,307.23380000000003,304.9018000000001,304.30780000000004,302.3446000000001,302.84420000000017,303.11220000000014,303.8260000000002,305.9056000000001,306.30920000000015,306.54360000000014,306.7068000000001,306.9548000000001
50 min,314.13584000000003,309.44394,308.67429999999996,298.18054,293.0325,284.26838000000004,280.77294000000006,287.23378,288.31818,302.0061600000001,302.38172,297.6722200000001,293.60018,291.63412,290.87924,287.2994,290.4597200000001,290.76552,339.35696,337.44130000000007,339.87394,343.01442000000003,338.23872000000006,340.70572,339.05390000000006,342.33726
55 min,314.04240000000004,309.48030909090903,308.6890181818182,298.1786727272727,293.0789090909091,284.4437090909091,280.5541272727273,287.2679636363637,288.37270909090904,302.0088363636364,302.3794,297.6755272727273,293.5675272727273,291.63174545454547,290.812109090909,287.27681818181816,290.415290909091,290.90965454545454,339.3905090909091,337.53821818181814,339.8994181818182,343.0064909090909,338.24501818181824,340.7331272727273,339.0694545454546,342.34814545454554
6 hr,314.3470333333331,310.64143888888896,309.4234499999999,305.2526972222222,295.270686111111,288.7187666666666,278.20739722222237,285.92946111111115,290.3133416666666,301.267863888889,302.5493583333333,298.4170416666666,292.58731388888896,292.763483333333,291.4985944444444,284.70725000000033,289.24687777777797,290.67806111111105,339.45969999999977,339.53784166666674,336.8374361111111,342.0091027777777,339.6398027777774,340.98022777777777,339.25097777777745,340.63423611111136
6.5 hr,314.76080769230754,310.5312076923078,309.3402025641024,305.3013769230769,295.3034076923076,289.03844615384617,278.07890512820524,285.53849999999994,290.11942564102566,300.696035897436,302.41868717948716,298.6160282051281,292.55236666666667,292.7834846153843,291.7417615384614,284.6108435897439,289.17775128205153,290.61005128205124,338.9584974358972,339.7128153846155,336.8168820512821,342.00169743589737,339.9067230769226,340.95324615384607,339.3361564102561,340.3060230769234
60 day,319.75016666666676,319.0773333333334,318.73216666666667,317.79716666666667,317.24850000000004,316.6195000000001,315.0906666666668,312.4960000000001,312.02033333333344,311.72866666666675,311.3758333333334,311.1475000000001,310.5571666666667,310.0658333333334,308.3115,306.95033333333333,306.8903333333334,305.7755,306.2680000000001,306.4955000000001,306.8293333333335,307.7970000000001,308.03816666666677,308.3021666666667,308.59700000000004,308.9823333333334
70 day,318.5505714285716,318.6574285714286,318.7158571428572,318.54542857142866,318.2255714285715,317.8174285714287,316.7014285714287,314.3404285714287,313.6962857142858,313.34914285714297,313.0362857142858,312.34500000000014,311.48414285714296,310.9794285714287,309.37042857142865,308.26171428571433,308.0141428571429,306.81114285714284,307.2762857142858,307.5247142857143,307.8505714285715,309.51214285714286,310.04028571428574,310.38571428571436,310.64457142857145,310.88771428571425
80 day,316.5022500000001,316.9767500000001,317.0892500000001,317.2076250000001,317.03400000000016,316.77025000000015,316.03287500000016,314.87512500000014,314.6540000000001,314.55987500000015,314.4177500000001,314.00075000000015,313.3708750000001,312.90550000000013,311.08312500000005,309.67025000000007,309.23937500000005,307.94912500000004,308.34012500000006,308.54962500000005,308.7753750000001,310.16775,310.466875,310.70887500000003,310.942125,311.23587499999996
90 day,314.8262222222223,315.23722222222233,315.3603333333334,315.314888888889,315.185888888889,314.92000000000013,314.49188888888904,313.8560000000001,313.79055555555567,313.81355555555575,313.7816666666668,313.6057777777779,313.24744444444457,313.0093333333335,312.4111111111112,311.4392222222223,311.14233333333345,309.94788888888894,310.0525555555556,310.1632222222223,310.3557777777779,311.0175555555556,311.19788888888894,311.34800000000007,311.4946666666667,311.6826666666667
Tomorrow,316.78,309.28,305.93,290.45,283.93,273.52,284.73,287.5,302.74,301.47,300.71,292.67,291.56,294.0,284.97,291.41,290.86,331.05,337.0,340.7,343.51,337.82,340.4,338.49,341.6,349.06
